           Initial parcel potential temperature at   0.17km is:  300.22    K
        Initial parcel water vapor mixing ratio at   0.17km is:    11.5 g/kg
   LFC falls between   1.58 km and   1.92   km
    EL falls between   9.63 km and   9.98   km
 CAPE is    1114.450     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.17     11.50    300.22    302.32     -0.73
         3      0.52     11.50    300.22    302.32     -1.17
         4      0.88     11.50    300.22    302.32     -1.72
         5      1.23     11.20    301.00    303.06     -1.63
         6      1.58     10.48    302.92    304.85     -0.54
         7      1.92      9.79    304.78    306.60      0.45
         8      2.28      9.10    306.63    308.33      1.39
         9      2.63      8.43    308.48    310.06      2.28
        10      2.97      7.77    310.30    311.77      3.11
        11      3.33      7.13    312.11    313.47      3.90
        12      3.67      6.51    313.88    315.13      4.64
        13      4.03      5.91    315.63    316.77      5.30
        14      4.38      5.33    317.33    318.36      5.73
        15      4.72      4.77    318.99    319.92      6.10
        16      5.07      4.23    320.59    321.42      6.39
        17      5.43      3.73    322.13    322.86      6.60
        18      5.78      3.25    323.59    324.23      6.72
        19      6.13      2.81    324.97    325.53      6.74
        20      6.47      2.40    326.27    326.75      6.67
        21      6.82      2.03    327.47    327.87      6.49
        22      7.18      1.69    328.56    328.90      6.19
        23      7.53      1.39    329.55    329.83      5.78
        24      7.88      1.13    330.43    330.66      5.25
        25      8.23      0.90    331.20    331.38      4.57
        26      8.57      0.71    331.86    332.01      3.76
        27      8.93      0.55    332.42    332.53      2.83
        28      9.27      0.42    332.88    332.97      1.81
        29      9.63      0.32    333.26    333.33      0.69
        30      9.98      0.23    333.56    333.61     -0.52
        31     10.32      0.17    333.80    333.83     -1.80
        32     10.68      0.12    333.98    334.01     -3.14
        33     11.02      0.09    334.12    334.14     -4.54
        34     11.38      0.06    334.22    334.23     -5.99
        35     11.73      0.04    334.30    334.31     -7.47
        36     12.07      0.03    334.35    334.36     -9.82
        37     12.43      0.02    334.39    334.39    -15.35
        38     12.77      0.01    334.42    334.42    -20.98
        39     13.13      0.01    334.43    334.43    -26.71
        40     13.48      0.01    334.45    334.45    -32.54
        41     13.82      0.00    334.45    334.45    -38.47
        42     14.18      0.00    334.46    334.46    -44.49
        43     14.52      0.00    334.46    334.46    -50.61
        44     14.88      0.00    334.46    334.46    -56.84
        45     15.23      0.00    334.47    334.47    -63.16
        46     15.57      0.00    334.47    334.47    -69.59
        47     15.93      0.00    334.47    334.47    -76.12
        48     16.27      0.00    334.47    334.47    -82.76
        49     16.63      0.00    334.47    334.47    -89.51
        50     16.98      0.00    334.47    334.47    -96.36
        51     17.33      0.00    334.47    334.47   -103.33
        52     17.67      0.00    334.47    334.47   -110.41
        53     18.02      0.00    334.47    334.47   -117.60
        54     18.38      0.00    334.47    334.47   -124.91
        55     18.73      0.00    334.47    334.47   -132.34
        56     19.08      0.00    334.47    334.47   -139.88
        57     19.42      0.00    334.47    334.47   -147.55
        58     19.77      0.00    334.47    334.47   -155.35
        59     20.13      0.00    334.47    334.47   -163.27
        60     20.48      0.00    334.47    334.47   -171.31
        61     20.83      0.00    334.47    334.47   -179.49
        62     21.17      0.00    334.47    334.47   -187.80
        63     21.52      0.00    334.47    334.47   -196.25
        64     21.88      0.00    334.47    334.47   -204.83
        65     22.23      0.00    334.47    334.47   -213.55
        66     22.58      0.00    334.47    334.47   -222.41
        67     22.92      0.00    334.47    334.47   -231.41
        68     23.27      0.00    334.47    334.47   -240.56
        69     23.63      0.00    334.47    334.47   -249.86
        70     23.98      0.00    334.47    334.47   -259.31
        71     24.33      0.00    334.47    334.47   -268.91
        72     24.67      0.00    334.47    334.47   -278.66
        73     25.02      0.00    334.47    334.47   -288.57
        74     25.38      0.00    334.47    334.47   -298.65
        75     25.73      0.00    334.47    334.47   -308.88
        76     26.08      0.00    334.47    334.47   -319.29
        77     26.42      0.00    334.47    334.47   -329.86
        78     26.77      0.00    334.47    334.47   -340.60
