           Initial parcel potential temperature at   0.09km is:  300.09    K
        Initial parcel water vapor mixing ratio at   0.09km is:    11.5 g/kg
   LFC falls between   1.66 km and   1.84   km
    EL falls between   9.71 km and   9.89   km
 CAPE is    1075.430     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
       130     22.49      0.00    334.21    334.21   -220.43
       131     22.66      0.00    334.21    334.21   -224.90
       132     22.84      0.00    334.21    334.21   -229.40
       133     23.01      0.00    334.21    334.21   -233.94
       134     23.19      0.00    334.21    334.21   -238.51
       135     23.36      0.00    334.21    334.21   -243.13
       136     23.54      0.00    334.21    334.21   -247.77
       137     23.71      0.00    334.21    334.21   -252.46
       138     23.89      0.00    334.21    334.21   -257.18
       139     24.06      0.00    334.21    334.21   -261.95
       140     24.24      0.00    334.21    334.21   -266.75
       141     24.41      0.00    334.21    334.21   -271.59
       142     24.59      0.00    334.21    334.21   -276.46
       143     24.76      0.00    334.21    334.21   -281.38
       144     24.94      0.00    334.21    334.21   -286.34
       145     25.11      0.00    334.21    334.21   -291.33
       146     25.29      0.00    334.21    334.21   -296.37
       147     25.46      0.00    334.21    334.21   -301.45
       148     25.64      0.00    334.21    334.21   -306.57
       149     25.81      0.00    334.21    334.21   -311.73
       150     25.99      0.00    334.21    334.21   -316.93
       151     26.16      0.00    334.21    334.21   -322.17
       152     26.34      0.00    334.21    334.21   -327.45
       153     26.51      0.00    334.21    334.21   -332.78
       154     26.69      0.00    334.21    334.21   -338.15
       155     26.86      0.00    334.21    334.21   -343.57
       156     27.04      0.00    334.21    334.21   -349.02
