           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:     7.1 g/kg
   LFC falls between   0.00 km and  -0.35   km
    EL falls between   0.00 km and  -0.35   km
 CAPE is    0.000000     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35      7.10    300.52    301.82     -1.43
         3      1.05      7.10    300.52    301.82     -2.54
         4      1.75      7.10    300.52    301.82     -3.94
         5      2.45      6.36    302.54    303.71     -3.65
         6      3.15      5.20    305.79    306.76     -2.35
         7      3.85      4.17    308.75    309.54     -1.43
         8      4.55      3.23    311.50    312.12     -1.11
         9      5.25      2.42    313.96    314.43     -1.22
        10      5.95      1.73    316.09    316.43     -1.72
        11      6.65      1.18    317.85    318.07     -2.66
        12      7.35      0.77    319.21    319.36     -4.02
        13      8.05      0.47    320.22    320.31     -5.80
        14      8.75      0.27    320.91    320.96     -8.01
        15      9.45      0.15    321.35    321.38    -10.52
        16     10.15      0.08    321.61    321.63    -13.25
        17     10.85      0.04    321.76    321.77    -16.15
        18     11.55      0.02    321.84    321.84    -19.15
        19     12.25      0.01    321.88    321.88    -25.07
        20     12.95      0.00    321.90    321.90    -36.37
        21     13.65      0.00    321.90    321.90    -48.04
        22     14.35      0.00    321.91    321.91    -60.09
        23     15.05      0.00    321.91    321.91    -72.55
        24     15.75      0.00    321.91    321.91    -85.40
        25     16.45      0.00    321.91    321.91    -98.68
        26     17.15      0.00    321.91    321.91   -112.39
        27     17.85      0.00    321.91    321.91   -126.55
        28     18.55      0.00    321.91    321.91   -141.17
        29     19.25      0.00    321.91    321.91   -156.26
        30     19.95      0.00    321.91    321.91   -171.85
        31     20.65      0.00    321.91    321.91   -187.95
        32     21.35      0.00    321.91    321.91   -204.57
        33     22.05      0.00    321.91    321.91   -221.73
        34     22.75      0.00    321.91    321.91   -239.45
        35     23.45      0.00    321.91    321.91   -257.75
        36     24.15      0.00    321.91    321.91   -276.65
        37     24.85      0.00    321.91    321.91   -296.16
        38     25.55      0.00    321.91    321.91   -316.31
        39     26.25      0.00    321.91    321.91   -337.11
