           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:    12.0 g/kg
   LFC falls between   1.05 km and   1.75   km
    EL falls between  10.15 km and  10.85   km
 CAPE is    1460.375     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35     12.00    300.52    302.72     -0.54
         3      1.05     11.97    300.61    302.80     -1.56
         4      1.75     10.45    304.65    306.59      0.83
         5      2.45      9.08    308.38    310.09      2.73
         6      3.15      7.76    312.10    313.57      4.47
         7      3.85      6.49    315.72    316.97      6.00
         8      4.55      5.31    319.21    320.24      7.02
         9      5.25      4.22    322.50    323.33      7.69
        10      5.95      3.25    325.53    326.18      8.03
        11      6.65      2.40    328.24    328.72      7.99
        12      7.35      1.69    330.56    330.90      7.52
        13      8.05      1.13    332.45    332.68      6.58
        14      8.75      0.71    333.90    334.05      5.07
        15      9.45      0.42    334.94    335.03      3.13
        16     10.15      0.23    335.63    335.68      0.80
        17     10.85      0.12    336.05    336.08     -1.84
        18     11.55      0.06    336.29    336.31     -4.69
        19     12.25      0.03    336.42    336.43    -10.52
        20     12.95      0.01    336.49    336.49    -21.77
        21     13.65      0.00    336.52    336.52    -33.42
        22     14.35      0.00    336.53    336.53    -45.47
        23     15.05      0.00    336.54    336.54    -57.92
        24     15.75      0.00    336.54    336.54    -70.77
        25     16.45      0.00    336.54    336.54    -84.05
        26     17.15      0.00    336.54    336.54    -97.76
        27     17.85      0.00    336.54    336.54   -111.92
        28     18.55      0.00    336.54    336.54   -126.54
        29     19.25      0.00    336.54    336.54   -141.63
        30     19.95      0.00    336.54    336.54   -157.22
        31     20.65      0.00    336.54    336.54   -173.31
        32     21.35      0.00    336.54    336.54   -189.93
        33     22.05      0.00    336.54    336.54   -207.10
        34     22.75      0.00    336.54    336.54   -224.82
        35     23.45      0.00    336.54    336.54   -243.12
        36     24.15      0.00    336.54    336.54   -262.01
        37     24.85      0.00    336.54    336.54   -281.53
        38     25.55      0.00    336.54    336.54   -301.67
        39     26.25      0.00    336.54    336.54   -322.48
