           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:     8.4 g/kg
   LFC falls between   3.15 km and   3.85   km
    EL falls between   6.65 km and   7.35   km
 CAPE is    98.37099     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35      8.40    300.52    302.06     -1.19
         3      1.05      8.40    300.52    302.06     -2.30
         4      1.75      8.34    300.67    302.20     -3.56
         5      2.45      7.02    304.29    305.59     -1.77
         6      3.15      5.84    307.58    308.68     -0.43
         7      3.85      4.74    310.74    311.64      0.67
         8      4.55      3.74    313.70    314.42      1.20
         9      5.25      2.85    316.40    316.95      1.30
        10      5.95      2.08    318.77    319.17      1.02
        11      6.65      1.45    320.77    321.06      0.33
        12      7.35      0.96    322.38    322.57     -0.81
        13      8.05      0.60    323.59    323.71     -2.39
        14      8.75      0.36    324.45    324.52     -4.45
        15      9.45      0.20    325.02    325.06     -6.84
        16     10.15      0.10    325.36    325.38     -9.50
        17     10.85      0.05    325.56    325.57    -12.34
        18     11.55      0.02    325.67    325.67    -15.32
        19     12.25      0.01    325.72    325.73    -21.23
        20     12.95      0.00    325.75    325.75    -32.51
        21     13.65      0.00    325.76    325.76    -44.18
        22     14.35      0.00    325.77    325.77    -56.23
        23     15.05      0.00    325.77    325.77    -68.69
        24     15.75      0.00    325.77    325.77    -81.54
        25     16.45      0.00    325.77    325.77    -94.82
        26     17.15      0.00    325.77    325.77   -108.53
        27     17.85      0.00    325.77    325.77   -122.69
        28     18.55      0.00    325.77    325.77   -137.31
        29     19.25      0.00    325.77    325.77   -152.40
        30     19.95      0.00    325.77    325.77   -167.99
        31     20.65      0.00    325.77    325.77   -184.09
        32     21.35      0.00    325.77    325.77   -200.71
        33     22.05      0.00    325.77    325.77   -217.87
        34     22.75      0.00    325.77    325.77   -235.59
        35     23.45      0.00    325.77    325.77   -253.89
        36     24.15      0.00    325.77    325.77   -272.79
        37     24.85      0.00    325.77    325.77   -292.30
        38     25.55      0.00    325.77    325.77   -312.45
        39     26.25      0.00    325.77    325.77   -333.25
