           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:    12.7 g/kg
   LFC falls between   1.05 km and   1.75   km
    EL falls between  10.85 km and  11.55   km
 CAPE is    1829.059     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35     12.70    300.52    302.85     -0.41
         3      1.05     12.43    301.23    303.51     -0.85
         4      1.75     10.89    305.32    307.35      1.59
         5      2.45      9.50    309.12    310.91      3.54
         6      3.15      8.15    312.90    314.46      5.35
         7      3.85      6.86    316.61    317.93      6.96
         8      4.55      5.65    320.19    321.29      8.07
         9      5.25      4.52    323.59    324.48      8.84
        10      5.95      3.51    326.74    327.44      9.29
        11      6.65      2.61    329.58    330.11      9.38
        12      7.35      1.86    332.05    332.42      9.04
        13      8.05      1.26    334.08    334.34      8.23
        14      8.75      0.80    335.67    335.83      6.86
        15      9.45      0.48    336.82    336.92      5.02
        16     10.15      0.27    337.59    337.65      2.77
        17     10.85      0.14    338.08    338.11      0.20
        18     11.55      0.07    338.36    338.37     -2.62
        19     12.25      0.03    338.51    338.52     -8.43
        20     12.95      0.01    338.59    338.59    -19.67
        21     13.65      0.01    338.62    338.63    -31.32
        22     14.35      0.00    338.64    338.64    -43.36
        23     15.05      0.00    338.65    338.65    -55.81
        24     15.75      0.00    338.65    338.65    -68.66
        25     16.45      0.00    338.65    338.65    -81.94
        26     17.15      0.00    338.65    338.65    -95.65
        27     17.85      0.00    338.65    338.65   -109.81
        28     18.55      0.00    338.65    338.65   -124.42
        29     19.25      0.00    338.65    338.65   -139.52
        30     19.95      0.00    338.65    338.65   -155.11
        31     20.65      0.00    338.65    338.65   -171.20
        32     21.35      0.00    338.65    338.65   -187.82
        33     22.05      0.00    338.65    338.65   -204.99
        34     22.75      0.00    338.65    338.65   -222.71
        35     23.45      0.00    338.65    338.65   -241.01
        36     24.15      0.00    338.65    338.65   -259.90
        37     24.85      0.00    338.65    338.65   -279.41
        38     25.55      0.00    338.65    338.65   -299.56
        39     26.25      0.00    338.65    338.65   -320.37
