           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:    10.1 g/kg
   LFC falls between   1.75 km and   2.45   km
    EL falls between   8.75 km and   9.45   km
 CAPE is    601.8259     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35     10.10    300.52    302.37     -0.88
         3      1.05     10.10    300.52    302.37     -1.99
         4      1.75      9.34    302.56    304.28     -1.48
         5      2.45      7.97    306.30    307.78      0.42
         6      3.15      6.72    309.79    311.06      1.95
         7      3.85      5.54    313.18    314.24      3.27
         8      4.55      4.45    316.40    317.26      4.03
         9      5.25      3.46    319.38    320.06      4.41
        10      5.95      2.59    322.07    322.58      4.43
        11      6.65      1.86    324.41    324.78      4.04
        12      7.35      1.27    326.34    326.60      3.21
        13      8.05      0.82    327.86    328.03      1.92
        14      8.75      0.50    328.98    329.08      0.10
        15      9.45      0.29    329.74    329.80     -2.10
        16     10.15      0.15    330.22    330.25     -4.63
        17     10.85      0.08    330.51    330.53     -7.39
        18     11.55      0.04    330.67    330.68    -10.32
        19     12.25      0.02    330.75    330.76    -16.20
        20     12.95      0.01    330.79    330.79    -27.47
        21     13.65      0.00    330.81    330.81    -39.13
        22     14.35      0.00    330.82    330.82    -51.18
        23     15.05      0.00    330.82    330.82    -63.63
        24     15.75      0.00    330.82    330.82    -76.49
        25     16.45      0.00    330.82    330.82    -89.77
        26     17.15      0.00    330.82    330.82   -103.48
        27     17.85      0.00    330.82    330.82   -117.63
        28     18.55      0.00    330.82    330.82   -132.25
        29     19.25      0.00    330.82    330.82   -147.35
        30     19.95      0.00    330.82    330.82   -162.94
        31     20.65      0.00    330.82    330.82   -179.03
        32     21.35      0.00    330.82    330.82   -195.65
        33     22.05      0.00    330.82    330.82   -212.81
        34     22.75      0.00    330.82    330.82   -230.54
        35     23.45      0.00    330.82    330.82   -248.83
        36     24.15      0.00    330.82    330.82   -267.73
        37     24.85      0.00    330.82    330.82   -287.24
        38     25.55      0.00    330.82    330.82   -307.39
        39     26.25      0.00    330.82    330.82   -328.19
