           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:    13.9 g/kg
   LFC falls between   0.35 km and   1.05   km
    EL falls between  11.55 km and  12.25   km
 CAPE is    2538.206     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35     13.90    300.52    303.07     -0.19
         3      1.05     13.22    302.30    304.74      0.38
         4      1.75     11.66    306.44    308.62      2.86
         5      2.45     10.24    310.34    312.27      4.91
         6      3.15      8.84    314.24    315.93      6.83
         7      3.85      7.51    318.08    319.53      8.56
         8      4.55      6.24    321.81    323.04      9.81
         9      5.25      5.06    325.39    326.39     10.75
        10      5.95      3.98    328.74    329.54     11.39
        11      6.65      3.01    331.81    332.42     11.69
        12      7.35      2.19    334.52    334.96     11.58
        13      8.05      1.51    336.80    337.11     11.01
        14      8.75      0.98    338.63    338.83      9.86
        15      9.45      0.60    339.99    340.12      8.22
        16     10.15      0.35    340.94    341.01      6.13
        17     10.85      0.19    341.55    341.59      3.67
        18     11.55      0.09    341.91    341.93      0.93
        19     12.25      0.04    342.11    342.12     -4.84
        20     12.95      0.02    342.21    342.21    -16.05
        21     13.65      0.01    342.26    342.26    -27.68
        22     14.35      0.00    342.28    342.28    -39.72
        23     15.05      0.00    342.29    342.29    -52.16
        24     15.75      0.00    342.29    342.29    -65.02
        25     16.45      0.00    342.29    342.29    -78.29
        26     17.15      0.00    342.30    342.30    -92.00
        27     17.85      0.00    342.30    342.30   -106.16
        28     18.55      0.00    342.30    342.30   -120.78
        29     19.25      0.00    342.30    342.30   -135.88
        30     19.95      0.00    342.30    342.30   -151.46
        31     20.65      0.00    342.30    342.30   -167.56
        32     21.35      0.00    342.30    342.30   -184.18
        33     22.05      0.00    342.30    342.30   -201.34
        34     22.75      0.00    342.30    342.30   -219.06
        35     23.45      0.00    342.30    342.30   -237.36
        36     24.15      0.00    342.30    342.30   -256.26
        37     24.85      0.00    342.30    342.30   -275.77
        38     25.55      0.00    342.30    342.30   -295.92
        39     26.25      0.00    342.30    342.30   -316.72
