           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:    10.7 g/kg
   LFC falls between   1.75 km and   2.45   km
    EL falls between   8.75 km and   9.45   km
 CAPE is    845.8988     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35     10.70    300.52    302.48     -0.77
         3      1.05     10.70    300.52    302.48     -1.88
         4      1.75      9.69    303.22    305.01     -0.75
         5      2.45      8.31    306.97    308.53      1.16
         6      3.15      7.04    310.54    311.87      2.76
         7      3.85      5.83    314.00    315.12      4.15
         8      4.55      4.71    317.31    318.22      5.00
         9      5.25      3.69    320.39    321.11      5.47
        10      5.95      2.79    323.19    323.74      5.59
        11      6.65      2.02    325.64    326.05      5.31
        12      7.35      1.39    327.70    327.98      4.60
        13      8.05      0.91    329.33    329.52      3.41
        14      8.75      0.56    330.55    330.66      1.69
        15      9.45      0.32    331.39    331.46     -0.44
        16     10.15      0.18    331.94    331.97     -2.91
        17     10.85      0.09    332.26    332.28     -5.63
        18     11.55      0.04    332.44    332.45     -8.54
        19     12.25      0.02    332.54    332.54    -14.41
        20     12.95      0.01    332.59    332.59    -25.68
        21     13.65      0.00    332.61    332.61    -37.33
        22     14.35      0.00    332.62    332.62    -49.38
        23     15.05      0.00    332.62    332.62    -61.83
        24     15.75      0.00    332.62    332.62    -74.69
        25     16.45      0.00    332.62    332.62    -87.97
        26     17.15      0.00    332.62    332.62   -101.68
        27     17.85      0.00    332.62    332.62   -115.84
        28     18.55      0.00    332.62    332.62   -130.45
        29     19.25      0.00    332.62    332.62   -145.55
        30     19.95      0.00    332.62    332.62   -161.14
        31     20.65      0.00    332.62    332.62   -177.23
        32     21.35      0.00    332.62    332.62   -193.85
        33     22.05      0.00    332.62    332.62   -211.02
        34     22.75      0.00    332.62    332.62   -228.74
        35     23.45      0.00    332.62    332.62   -247.04
        36     24.15      0.00    332.62    332.62   -265.93
        37     24.85      0.00    332.62    332.62   -285.44
        38     25.55      0.00    332.62    332.62   -305.59
        39     26.25      0.00    332.62    332.62   -326.40
