           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:    11.0 g/kg
   LFC falls between   1.75 km and   2.45   km
    EL falls between   9.45 km and  10.15   km
 CAPE is    974.4180     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35     11.00    300.52    302.53     -0.72
         3      1.05     11.00    300.52    302.53     -1.83
         4      1.75      9.86    303.55    305.38     -0.38
         5      2.45      8.49    307.30    308.89      1.53
         6      3.15      7.20    310.90    312.27      3.16
         7      3.85      5.98    314.41    315.56      4.58
         8      4.55      4.85    317.76    318.69      5.47
         9      5.25      3.81    320.89    321.63      5.99
        10      5.95      2.89    323.74    324.31      6.16
        11      6.65      2.10    326.25    326.67      5.94
        12      7.35      1.46    328.37    328.66      5.28
        13      8.05      0.96    330.06    330.26      4.15
        14      8.75      0.59    331.33    331.45      2.48
        15      9.45      0.34    332.22    332.29      0.39
        16     10.15      0.19    332.79    332.83     -2.05
        17     10.85      0.10    333.14    333.16     -4.76
        18     11.55      0.05    333.33    333.34     -7.65
        19     12.25      0.02    333.43    333.44    -13.51
        20     12.95      0.01    333.48    333.49    -24.78
        21     13.65      0.00    333.51    333.51    -36.43
        22     14.35      0.00    333.52    333.52    -48.48
        23     15.05      0.00    333.52    333.52    -60.93
        24     15.75      0.00    333.52    333.52    -73.79
        25     16.45      0.00    333.52    333.52    -87.07
        26     17.15      0.00    333.52    333.52   -100.78
        27     17.85      0.00    333.52    333.52   -114.93
        28     18.55      0.00    333.52    333.52   -129.55
        29     19.25      0.00    333.52    333.52   -144.65
        30     19.95      0.00    333.52    333.52   -160.24
        31     20.65      0.00    333.52    333.52   -176.33
        32     21.35      0.00    333.52    333.52   -192.95
        33     22.05      0.00    333.52    333.52   -210.11
        34     22.75      0.00    333.52    333.52   -227.84
        35     23.45      0.00    333.52    333.52   -246.14
        36     24.15      0.00    333.52    333.52   -265.03
        37     24.85      0.00    333.52    333.52   -284.54
        38     25.55      0.00    333.52    333.52   -304.69
        39     26.25      0.00    333.52    333.52   -325.50
