           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:    13.0 g/kg
   LFC falls between   1.05 km and   1.75   km
    EL falls between  10.85 km and  11.55   km
 CAPE is    2001.186     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35     13.00    300.52    302.90     -0.35
         3      1.05     12.62    301.50    303.82     -0.54
         4      1.75     11.08    305.61    307.67      1.91
         5      2.45      9.69    309.42    311.25      3.89
         6      3.15      8.32    313.24    314.83      5.73
         7      3.85      7.02    316.98    318.34      7.37
         8      4.55      5.79    320.60    321.73      8.51
         9      5.25      4.65    324.04    324.96      9.32
        10      5.95      3.62    327.25    327.97      9.82
        11      6.65      2.71    330.15    330.69      9.96
        12      7.35      1.94    332.67    333.07      9.68
        13      8.05      1.32    334.77    335.04      8.93
        14      8.75      0.85    336.41    336.59      7.61
        15      9.45      0.51    337.62    337.72      5.82
        16     10.15      0.29    338.43    338.49      3.61
        17     10.85      0.15    338.95    338.98      1.07
        18     11.55      0.08    339.25    339.26     -1.73
        19     12.25      0.04    339.41    339.42     -7.54
        20     12.95      0.02    339.49    339.49    -18.77
        21     13.65      0.01    339.53    339.53    -30.41
        22     14.35      0.00    339.55    339.55    -42.45
        23     15.05      0.00    339.55    339.55    -54.90
        24     15.75      0.00    339.56    339.56    -67.75
        25     16.45      0.00    339.56    339.56    -81.03
        26     17.15      0.00    339.56    339.56    -94.74
        27     17.85      0.00    339.56    339.56   -108.90
        28     18.55      0.00    339.56    339.56   -123.52
        29     19.25      0.00    339.56    339.56   -138.61
        30     19.95      0.00    339.56    339.56   -154.20
        31     20.65      0.00    339.56    339.56   -170.30
        32     21.35      0.00    339.56    339.56   -186.92
        33     22.05      0.00    339.56    339.56   -204.08
        34     22.75      0.00    339.56    339.56   -221.80
        35     23.45      0.00    339.56    339.56   -240.10
        36     24.15      0.00    339.56    339.56   -259.00
        37     24.85      0.00    339.56    339.56   -278.51
        38     25.55      0.00    339.56    339.56   -298.65
        39     26.25      0.00    339.56    339.56   -319.46
