           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:     9.9 g/kg
   LFC falls between   1.75 km and   2.45   km
    EL falls between   8.05 km and   8.75   km
 CAPE is    528.5186     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35      9.90    300.52    302.33     -0.92
         3      1.05      9.90    300.52    302.33     -2.03
         4      1.75      9.22    302.34    304.04     -1.73
         5      2.45      7.85    306.07    307.53      0.17
         6      3.15      6.61    309.54    310.79      1.68
         7      3.85      5.44    312.90    313.94      2.97
         8      4.55      4.36    316.09    316.93      3.71
         9      5.25      3.38    319.04    319.70      4.05
        10      5.95      2.53    321.69    322.19      4.04
        11      6.65      1.81    323.99    324.35      3.62
        12      7.35      1.23    325.89    326.13      2.75
        13      8.05      0.79    327.37    327.53      1.42
        14      8.75      0.48    328.45    328.55     -0.43
        15      9.45      0.27    329.19    329.24     -2.66
        16     10.15      0.15    329.65    329.68     -5.20
        17     10.85      0.07    329.93    329.94     -7.97
        18     11.55      0.04    330.08    330.09    -10.91
        19     12.25      0.02    330.16    330.16    -16.79
        20     12.95      0.01    330.20    330.20    -28.06
        21     13.65      0.00    330.21    330.21    -39.73
        22     14.35      0.00    330.22    330.22    -51.78
        23     15.05      0.00    330.22    330.22    -64.23
        24     15.75      0.00    330.23    330.23    -77.09
        25     16.45      0.00    330.23    330.23    -90.36
        26     17.15      0.00    330.23    330.23   -104.07
        27     17.85      0.00    330.23    330.23   -118.23
        28     18.55      0.00    330.23    330.23   -132.85
        29     19.25      0.00    330.23    330.23   -147.95
        30     19.95      0.00    330.23    330.23   -163.53
        31     20.65      0.00    330.23    330.23   -179.63
        32     21.35      0.00    330.23    330.23   -196.25
        33     22.05      0.00    330.23    330.23   -213.41
        34     22.75      0.00    330.23    330.23   -231.13
        35     23.45      0.00    330.23    330.23   -249.43
        36     24.15      0.00    330.23    330.23   -268.33
        37     24.85      0.00    330.23    330.23   -287.84
        38     25.55      0.00    330.23    330.23   -307.99
        39     26.25      0.00    330.23    330.23   -328.79
