           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:    10.0 g/kg
   LFC falls between   1.75 km and   2.45   km
    EL falls between   8.05 km and   8.75   km
 CAPE is    564.1436     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35     10.00    300.52    302.35     -0.90
         3      1.05     10.00    300.52    302.35     -2.01
         4      1.75      9.28    302.45    304.16     -1.61
         5      2.45      7.91    306.18    307.66      0.30
         6      3.15      6.67    309.66    310.92      1.81
         7      3.85      5.49    313.04    314.09      3.12
         8      4.55      4.40    316.24    317.09      3.87
         9      5.25      3.42    319.21    319.88      4.23
        10      5.95      2.56    321.88    322.39      4.24
        11      6.65      1.83    324.20    324.56      3.83
        12      7.35      1.25    326.12    326.37      2.98
        13      8.05      0.81    327.62    327.78      1.67
        14      8.75      0.49    328.71    328.81     -0.16
        15      9.45      0.28    329.46    329.52     -2.38
        16     10.15      0.15    329.94    329.97     -4.91
        17     10.85      0.08    330.22    330.23     -7.68
        18     11.55      0.04    330.38    330.38    -10.61
        19     12.25      0.02    330.46    330.46    -16.49
        20     12.95      0.01    330.49    330.50    -27.77
        21     13.65      0.00    330.51    330.51    -39.43
        22     14.35      0.00    330.52    330.52    -51.48
        23     15.05      0.00    330.52    330.52    -63.93
        24     15.75      0.00    330.52    330.52    -76.79
        25     16.45      0.00    330.52    330.52    -90.06
        26     17.15      0.00    330.52    330.52   -103.77
        27     17.85      0.00    330.52    330.52   -117.93
        28     18.55      0.00    330.53    330.53   -132.55
        29     19.25      0.00    330.53    330.53   -147.65
        30     19.95      0.00    330.53    330.53   -163.23
        31     20.65      0.00    330.53    330.53   -179.33
        32     21.35      0.00    330.53    330.53   -195.95
        33     22.05      0.00    330.53    330.53   -213.11
        34     22.75      0.00    330.53    330.53   -230.83
        35     23.45      0.00    330.53    330.53   -249.13
        36     24.15      0.00    330.53    330.53   -268.03
        37     24.85      0.00    330.53    330.53   -287.54
        38     25.55      0.00    330.53    330.53   -307.69
        39     26.25      0.00    330.53    330.53   -328.49
