           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:    11.3 g/kg
   LFC falls between   1.75 km and   2.45   km
    EL falls between   9.45 km and  10.15   km
 CAPE is    1111.041     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35     11.30    300.52    302.59     -0.66
         3      1.05     11.30    300.52    302.59     -1.77
         4      1.75     10.04    303.89    305.75     -0.02
         5      2.45      8.67    307.63    309.26      1.89
         6      3.15      7.37    311.27    312.67      3.56
         7      3.85      6.13    314.81    315.99      5.01
         8      4.55      4.98    318.20    319.16      5.94
         9      5.25      3.93    321.38    322.15      6.51
        10      5.95      3.00    324.29    324.88      6.73
        11      6.65      2.19    326.86    327.29      6.56
        12      7.35      1.52    329.04    329.34      5.96
        13      8.05      1.01    330.79    330.99      4.88
        14      8.75      0.62    332.11    332.23      3.26
        15      9.45      0.36    333.04    333.11      1.21
        16     10.15      0.20    333.64    333.68     -1.20
        17     10.85      0.10    334.01    334.03     -3.88
        18     11.55      0.05    334.22    334.23     -6.76
        19     12.25      0.02    334.33    334.33    -12.62
        20     12.95      0.01    334.38    334.39    -23.88
        21     13.65      0.00    334.41    334.41    -35.53
        22     14.35      0.00    334.42    334.42    -47.58
        23     15.05      0.00    334.42    334.42    -60.03
        24     15.75      0.00    334.43    334.43    -72.89
        25     16.45      0.00    334.43    334.43    -86.16
        26     17.15      0.00    334.43    334.43    -99.87
        27     17.85      0.00    334.43    334.43   -114.03
        28     18.55      0.00    334.43    334.43   -128.65
        29     19.25      0.00    334.43    334.43   -143.74
        30     19.95      0.00    334.43    334.43   -159.33
        31     20.65      0.00    334.43    334.43   -175.43
        32     21.35      0.00    334.43    334.43   -192.05
        33     22.05      0.00    334.43    334.43   -209.21
        34     22.75      0.00    334.43    334.43   -226.93
        35     23.45      0.00    334.43    334.43   -245.23
        36     24.15      0.00    334.43    334.43   -264.13
        37     24.85      0.00    334.43    334.43   -283.64
        38     25.55      0.00    334.43    334.43   -303.79
        39     26.25      0.00    334.43    334.43   -324.59
