           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:    10.8 g/kg
   LFC falls between   1.75 km and   2.45   km
    EL falls between   8.75 km and   9.45   km
 CAPE is    886.1866     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35     10.80    300.52    302.50     -0.76
         3      1.05     10.80    300.52    302.50     -1.86
         4      1.75      9.74    303.33    305.14     -0.63
         5      2.45      8.37    307.08    308.65      1.29
         6      3.15      7.10    310.66    312.00      2.90
         7      3.85      5.88    314.14    315.27      4.29
         8      4.55      4.76    317.46    318.38      5.16
         9      5.25      3.73    320.56    321.29      5.64
        10      5.95      2.82    323.37    323.93      5.78
        11      6.65      2.05    325.85    326.26      5.52
        12      7.35      1.41    327.93    328.21      4.83
        13      8.05      0.92    329.58    329.76      3.66
        14      8.75      0.57    330.81    330.93      1.95
        15      9.45      0.33    331.67    331.73     -0.17
        16     10.15      0.18    332.22    332.26     -2.62
        17     10.85      0.09    332.55    332.57     -5.34
        18     11.55      0.04    332.74    332.75     -8.25
        19     12.25      0.02    332.84    332.84    -14.11
        20     12.95      0.01    332.88    332.89    -25.38
        21     13.65      0.00    332.91    332.91    -37.03
        22     14.35      0.00    332.92    332.92    -49.08
        23     15.05      0.00    332.92    332.92    -61.53
        24     15.75      0.00    332.92    332.92    -74.39
        25     16.45      0.00    332.92    332.92    -87.67
        26     17.15      0.00    332.92    332.92   -101.38
        27     17.85      0.00    332.92    332.92   -115.53
        28     18.55      0.00    332.92    332.92   -130.15
        29     19.25      0.00    332.92    332.92   -145.25
        30     19.95      0.00    332.92    332.92   -160.84
        31     20.65      0.00    332.92    332.92   -176.93
        32     21.35      0.00    332.92    332.92   -193.55
        33     22.05      0.00    332.92    332.92   -210.72
        34     22.75      0.00    332.92    332.92   -228.44
        35     23.45      0.00    332.92    332.92   -246.74
        36     24.15      0.00    332.92    332.92   -265.63
        37     24.85      0.00    332.92    332.92   -285.14
        38     25.55      0.00    332.92    332.92   -305.29
        39     26.25      0.00    332.92    332.92   -326.10
