           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:     9.0 g/kg
   LFC falls between   2.45 km and   3.15   km
    EL falls between   7.35 km and   8.05   km
 CAPE is    243.1590     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35      9.00    300.52    302.17     -1.08
         3      1.05      9.00    300.52    302.17     -2.19
         4      1.75      8.69    301.34    302.94     -2.83
         5      2.45      7.35    305.01    306.38     -0.98
         6      3.15      6.15    308.38    309.53      0.43
         7      3.85      5.02    311.62    312.58      1.60
         8      4.55      3.98    314.67    315.44      2.22
         9      5.25      3.05    317.47    318.06      2.42
        10      5.95      2.25    319.96    320.40      2.25
        11      6.65      1.59    322.08    322.39      1.66
        12      7.35      1.06    323.80    324.01      0.63
        13      8.05      0.67    325.12    325.25     -0.86
        14      8.75      0.40    326.06    326.14     -2.83
        15      9.45      0.23    326.69    326.73     -5.17
        16     10.15      0.12    327.08    327.10     -7.78
        17     10.85      0.06    327.31    327.32    -10.59
        18     11.55      0.03    327.43    327.44    -13.56
        19     12.25      0.01    327.49    327.50    -19.46
        20     12.95      0.01    327.52    327.52    -30.74
        21     13.65      0.00    327.54    327.54    -42.40
        22     14.35      0.00    327.54    327.54    -54.46
        23     15.05      0.00    327.55    327.55    -66.91
        24     15.75      0.00    327.55    327.55    -79.77
        25     16.45      0.00    327.55    327.55    -93.04
        26     17.15      0.00    327.55    327.55   -106.75
        27     17.85      0.00    327.55    327.55   -120.91
        28     18.55      0.00    327.55    327.55   -135.53
        29     19.25      0.00    327.55    327.55   -150.63
        30     19.95      0.00    327.55    327.55   -166.21
        31     20.65      0.00    327.55    327.55   -182.31
        32     21.35      0.00    327.55    327.55   -198.93
        33     22.05      0.00    327.55    327.55   -216.09
        34     22.75      0.00    327.55    327.55   -233.81
        35     23.45      0.00    327.55    327.55   -252.11
        36     24.15      0.00    327.55    327.55   -271.01
        37     24.85      0.00    327.55    327.55   -290.52
        38     25.55      0.00    327.55    327.55   -310.67
        39     26.25      0.00    327.55    327.55   -331.47
