           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:     9.5 g/kg
   LFC falls between   2.45 km and   3.15   km
    EL falls between   8.05 km and   8.75   km
 CAPE is    392.5090     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35      9.50    300.52    302.26     -0.99
         3      1.05      9.50    300.52    302.26     -2.10
         4      1.75      8.98    301.89    303.55     -2.22
         5      2.45      7.63    305.60    307.02     -0.34
         6      3.15      6.40    309.03    310.23      1.13
         7      3.85      5.25    312.34    313.34      2.37
         8      4.55      4.19    315.47    316.27      3.05
         9      5.25      3.24    318.35    318.98      3.33
        10      5.95      2.40    320.93    321.40      3.25
        11      6.65      1.71    323.15    323.48      2.75
        12      7.35      1.15    324.97    325.19      1.81
        13      8.05      0.74    326.37    326.52      0.41
        14      8.75      0.44    327.39    327.48     -1.49
        15      9.45      0.25    328.08    328.13     -3.77
        16     10.15      0.13    328.51    328.54     -6.34
        17     10.85      0.07    328.76    328.78     -9.14
        18     11.55      0.03    328.90    328.91    -12.09
        19     12.25      0.01    328.97    328.98    -17.98
        20     12.95      0.01    329.01    329.01    -29.25
        21     13.65      0.00    329.02    329.02    -40.92
        22     14.35      0.00    329.03    329.03    -52.97
        23     15.05      0.00    329.03    329.03    -65.42
        24     15.75      0.00    329.03    329.03    -78.28
        25     16.45      0.00    329.03    329.03    -91.56
        26     17.15      0.00    329.03    329.03   -105.27
        27     17.85      0.00    329.03    329.03   -119.42
        28     18.55      0.00    329.03    329.03   -134.04
        29     19.25      0.00    329.03    329.03   -149.14
        30     19.95      0.00    329.03    329.03   -164.73
        31     20.65      0.00    329.03    329.03   -180.82
        32     21.35      0.00    329.03    329.03   -197.44
        33     22.05      0.00    329.03    329.03   -214.60
        34     22.75      0.00    329.03    329.03   -232.33
        35     23.45      0.00    329.03    329.03   -250.63
        36     24.15      0.00    329.03    329.03   -269.52
        37     24.85      0.00    329.03    329.03   -289.03
        38     25.55      0.00    329.03    329.03   -309.18
        39     26.25      0.00    329.03    329.03   -329.99
