           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:     7.5 g/kg
   LFC falls between   0.00 km and  -0.35   km
    EL falls between   0.00 km and  -0.35   km
 CAPE is    0.000000     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35      7.50    300.52    301.89     -1.36
         3      1.05      7.50    300.52    301.89     -2.47
         4      1.75      7.50    300.52    301.89     -3.87
         5      2.45      6.56    303.08    304.30     -3.06
         6      3.15      5.39    306.35    307.36     -1.75
         7      3.85      4.34    309.38    310.20     -0.77
         8      4.55      3.38    312.19    312.84     -0.39
         9      5.25      2.55    314.73    315.21     -0.43
        10      5.95      1.84    316.93    317.28     -0.87
        11      6.65      1.26    318.76    319.00     -1.73
        12      7.35      0.82    320.20    320.36     -3.02
        13      8.05      0.51    321.27    321.36     -4.74
        14      8.75      0.30    322.00    322.06     -6.91
        15      9.45      0.16    322.48    322.51     -9.39
        16     10.15      0.08    322.77    322.78    -12.10
        17     10.85      0.04    322.93    322.94    -14.97
        18     11.55      0.02    323.02    323.02    -17.97
        19     12.25      0.01    323.06    323.06    -23.89
        20     12.95      0.00    323.08    323.08    -35.18
        21     13.65      0.00    323.09    323.09    -46.85
        22     14.35      0.00    323.09    323.09    -58.91
        23     15.05      0.00    323.09    323.09    -71.36
        24     15.75      0.00    323.09    323.09    -84.22
        25     16.45      0.00    323.09    323.09    -97.50
        26     17.15      0.00    323.09    323.09   -111.21
        27     17.85      0.00    323.09    323.09   -125.36
        28     18.55      0.00    323.09    323.09   -139.98
        29     19.25      0.00    323.09    323.09   -155.08
        30     19.95      0.00    323.09    323.09   -170.67
        31     20.65      0.00    323.09    323.09   -186.76
        32     21.35      0.00    323.09    323.09   -203.38
        33     22.05      0.00    323.09    323.09   -220.54
        34     22.75      0.00    323.09    323.09   -238.26
        35     23.45      0.00    323.09    323.09   -256.56
        36     24.15      0.00    323.09    323.09   -275.46
        37     24.85      0.00    323.09    323.09   -294.97
        38     25.55      0.00    323.09    323.09   -315.12
        39     26.25      0.00    323.09    323.09   -335.92
