           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:    13.6 g/kg
   LFC falls between   0.35 km and   1.05   km
    EL falls between  11.55 km and  12.25   km
 CAPE is    2344.643     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35     13.60    300.52    303.01     -0.24
         3      1.05     13.02    302.03    304.43      0.07
         4      1.75     11.47    306.17    308.31      2.54
         5      2.45     10.05    310.04    311.94      4.57
         6      3.15      8.67    313.91    315.57      6.46
         7      3.85      7.34    317.72    319.14      8.17
         8      4.55      6.09    321.41    322.61      9.38
         9      5.25      4.92    324.94    325.92     10.28
        10      5.95      3.86    328.25    329.02     10.87
        11      6.65      2.91    331.26    331.85     11.12
        12      7.35      2.10    333.91    334.34     10.95
        13      8.05      1.44    336.13    336.43     10.32
        14      8.75      0.94    337.89    338.09      9.11
        15      9.45      0.57    339.20    339.32      7.42
        16     10.15      0.33    340.11    340.17      5.29
        17     10.85      0.17    340.68    340.72      2.80
        18     11.55      0.09    341.02    341.04      0.04
        19     12.25      0.04    341.21    341.21     -5.74
        20     12.95      0.02    341.30    341.30    -16.96
        21     13.65      0.01    341.35    341.35    -28.59
        22     14.35      0.00    341.37    341.37    -40.63
        23     15.05      0.00    341.38    341.38    -53.08
        24     15.75      0.00    341.38    341.38    -65.93
        25     16.45      0.00    341.38    341.38    -79.21
        26     17.15      0.00    341.38    341.38    -92.92
        27     17.85      0.00    341.38    341.38   -107.08
        28     18.55      0.00    341.38    341.38   -121.69
        29     19.25      0.00    341.38    341.38   -136.79
        30     19.95      0.00    341.38    341.38   -152.38
        31     20.65      0.00    341.38    341.38   -168.47
        32     21.35      0.00    341.38    341.38   -185.09
        33     22.05      0.00    341.38    341.38   -202.26
        34     22.75      0.00    341.38    341.38   -219.98
        35     23.45      0.00    341.38    341.38   -238.28
        36     24.15      0.00    341.38    341.38   -257.17
        37     24.85      0.00    341.38    341.38   -276.68
        38     25.55      0.00    341.38    341.38   -296.83
        39     26.25      0.00    341.38    341.38   -317.64
