           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:    12.5 g/kg
   LFC falls between   1.05 km and   1.75   km
    EL falls between  10.15 km and  10.85   km
 CAPE is    1721.499     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35     12.50    300.52    302.81     -0.44
         3      1.05     12.29    301.05    303.31     -1.05
         4      1.75     10.76    305.13    307.14      1.37
         5      2.45      9.38    308.91    310.68      3.31
         6      3.15      8.04    312.68    314.21      5.10
         7      3.85      6.76    316.36    317.66      6.69
         8      4.55      5.55    319.91    320.99      7.77
         9      5.25      4.43    323.28    324.15      8.51
        10      5.95      3.43    326.40    327.08      8.93
        11      6.65      2.55    329.20    329.71      8.98
        12      7.35      1.81    331.63    331.99      8.61
        13      8.05      1.22    333.62    333.87      7.76
        14      8.75      0.78    335.16    335.32      6.35
        15      9.45      0.46    336.28    336.38      4.48
        16     10.15      0.26    337.03    337.09      2.21
        17     10.85      0.14    337.50    337.53     -0.38
        18     11.55      0.07    337.77    337.78     -3.21
        19     12.25      0.03    337.91    337.92     -9.03
        20     12.95      0.01    337.99    337.99    -20.27
        21     13.65      0.01    338.02    338.02    -31.92
        22     14.35      0.00    338.04    338.04    -43.96
        23     15.05      0.00    338.04    338.04    -56.41
        24     15.75      0.00    338.05    338.05    -69.27
        25     16.45      0.00    338.05    338.05    -82.54
        26     17.15      0.00    338.05    338.05    -96.25
        27     17.85      0.00    338.05    338.05   -110.41
        28     18.55      0.00    338.05    338.05   -125.03
        29     19.25      0.00    338.05    338.05   -140.12
        30     19.95      0.00    338.05    338.05   -155.71
        31     20.65      0.00    338.05    338.05   -171.81
        32     21.35      0.00    338.05    338.05   -188.43
        33     22.05      0.00    338.05    338.05   -205.59
        34     22.75      0.00    338.05    338.05   -223.31
        35     23.45      0.00    338.05    338.05   -241.61
        36     24.15      0.00    338.05    338.05   -260.51
        37     24.85      0.00    338.05    338.05   -280.02
        38     25.55      0.00    338.05    338.05   -300.17
        39     26.25      0.00    338.05    338.05   -320.97
