           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:    11.4 g/kg
   LFC falls between   1.05 km and   1.75   km
    EL falls between   9.45 km and  10.15   km
 CAPE is    1158.716     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35     11.40    300.52    302.61     -0.65
         3      1.05     11.40    300.52    302.61     -1.75
         4      1.75     10.10    304.00    305.87      0.10
         5      2.45      8.73    307.74    309.38      2.01
         6      3.15      7.42    311.39    312.80      3.69
         7      3.85      6.19    314.94    316.13      5.16
         8      4.55      5.03    318.34    319.32      6.10
         9      5.25      3.97    321.54    322.32      6.68
        10      5.95      3.03    324.47    325.07      6.92
        11      6.65      2.22    327.06    327.50      6.77
        12      7.35      1.55    329.26    329.57      6.18
        13      8.05      1.02    331.03    331.23      5.13
        14      8.75      0.64    332.37    332.50      3.52
        15      9.45      0.37    333.31    333.39      1.49
        16     10.15      0.20    333.93    333.97     -0.91
        17     10.85      0.11    334.30    334.32     -3.59
        18     11.55      0.05    334.52    334.53     -6.47
        19     12.25      0.02    334.63    334.63    -12.32
        20     12.95      0.01    334.68    334.69    -23.58
        21     13.65      0.00    334.71    334.71    -35.23
        22     14.35      0.00    334.72    334.72    -47.28
        23     15.05      0.00    334.73    334.73    -59.73
        24     15.75      0.00    334.73    334.73    -72.58
        25     16.45      0.00    334.73    334.73    -85.86
        26     17.15      0.00    334.73    334.73    -99.57
        27     17.85      0.00    334.73    334.73   -113.73
        28     18.55      0.00    334.73    334.73   -128.35
        29     19.25      0.00    334.73    334.73   -143.44
        30     19.95      0.00    334.73    334.73   -159.03
        31     20.65      0.00    334.73    334.73   -175.13
        32     21.35      0.00    334.73    334.73   -191.75
        33     22.05      0.00    334.73    334.73   -208.91
        34     22.75      0.00    334.73    334.73   -226.63
        35     23.45      0.00    334.73    334.73   -244.93
        36     24.15      0.00    334.73    334.73   -263.83
        37     24.85      0.00    334.73    334.73   -283.34
        38     25.55      0.00    334.73    334.73   -303.49
        39     26.25      0.00    334.73    334.73   -324.29
