           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:     7.2 g/kg
   LFC falls between   0.00 km and  -0.35   km
    EL falls between   0.00 km and  -0.35   km
 CAPE is    0.000000     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35      7.20    300.52    301.84     -1.41
         3      1.05      7.20    300.52    301.84     -2.52
         4      1.75      7.20    300.52    301.84     -3.93
         5      2.45      6.41    302.68    303.86     -3.50
         6      3.15      5.25    305.93    306.91     -2.20
         7      3.85      4.21    308.91    309.70     -1.27
         8      4.55      3.27    311.68    312.30     -0.92
         9      5.25      2.45    314.16    314.63     -1.02
        10      5.95      1.76    316.30    316.64     -1.51
        11      6.65      1.20    318.07    318.31     -2.42
        12      7.35      0.78    319.46    319.61     -3.77
        13      8.05      0.48    320.48    320.57     -5.53
        14      8.75      0.28    321.18    321.24     -7.74
        15      9.45      0.15    321.63    321.66    -10.24
        16     10.15      0.08    321.90    321.92    -12.96
        17     10.85      0.04    322.05    322.06    -15.85
        18     11.55      0.02    322.13    322.14    -18.86
        19     12.25      0.01    322.17    322.17    -24.78
        20     12.95      0.00    322.19    322.19    -36.07
        21     13.65      0.00    322.20    322.20    -47.74
        22     14.35      0.00    322.20    322.20    -59.80
        23     15.05      0.00    322.20    322.20    -72.25
        24     15.75      0.00    322.20    322.20    -85.11
        25     16.45      0.00    322.20    322.20    -98.38
        26     17.15      0.00    322.20    322.20   -112.10
        27     17.85      0.00    322.20    322.20   -126.25
        28     18.55      0.00    322.20    322.20   -140.87
        29     19.25      0.00    322.20    322.20   -155.97
        30     19.95      0.00    322.20    322.20   -171.55
        31     20.65      0.00    322.20    322.20   -187.65
        32     21.35      0.00    322.20    322.20   -204.27
        33     22.05      0.00    322.20    322.20   -221.43
        34     22.75      0.00    322.20    322.20   -239.15
        35     23.45      0.00    322.20    322.20   -257.45
        36     24.15      0.00    322.20    322.20   -276.35
        37     24.85      0.00    322.20    322.20   -295.86
        38     25.55      0.00    322.20    322.20   -316.01
        39     26.25      0.00    322.20    322.20   -336.81
