           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:    13.7 g/kg
   LFC falls between   0.35 km and   1.05   km
    EL falls between  11.55 km and  12.25   km
 CAPE is    2409.281     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35     13.70    300.52    303.03     -0.22
         3      1.05     13.08    302.12    304.53      0.17
         4      1.75     11.53    306.26    308.41      2.65
         5      2.45     10.11    310.14    312.05      4.69
         6      3.15      8.73    314.02    315.69      6.58
         7      3.85      7.40    317.84    319.27      8.30
         8      4.55      6.14    321.55    322.75      9.53
         9      5.25      4.97    325.09    326.08     10.43
        10      5.95      3.90    328.41    329.19     11.05
        11      6.65      2.95    331.44    332.04     11.31
        12      7.35      2.13    334.11    334.55     11.16
        13      8.05      1.47    336.36    336.66     10.55
        14      8.75      0.95    338.14    338.34      9.36
        15      9.45      0.58    339.47    339.59      7.69
        16     10.15      0.33    340.38    340.45      5.57
        17     10.85      0.18    340.97    341.01      3.09
        18     11.55      0.09    341.32    341.33      0.34
        19     12.25      0.04    341.51    341.52     -5.44
        20     12.95      0.02    341.60    341.61    -16.66
        21     13.65      0.01    341.65    341.65    -28.29
        22     14.35      0.00    341.67    341.67    -40.33
        23     15.05      0.00    341.68    341.68    -52.77
        24     15.75      0.00    341.68    341.68    -65.63
        25     16.45      0.00    341.68    341.68    -78.90
        26     17.15      0.00    341.69    341.69    -92.61
        27     17.85      0.00    341.69    341.69   -106.77
        28     18.55      0.00    341.69    341.69   -121.39
        29     19.25      0.00    341.69    341.69   -136.49
        30     19.95      0.00    341.69    341.69   -152.07
        31     20.65      0.00    341.69    341.69   -168.17
        32     21.35      0.00    341.69    341.69   -184.79
        33     22.05      0.00    341.69    341.69   -201.95
        34     22.75      0.00    341.69    341.69   -219.67
        35     23.45      0.00    341.69    341.69   -237.97
        36     24.15      0.00    341.69    341.69   -256.87
        37     24.85      0.00    341.69    341.69   -276.38
        38     25.55      0.00    341.69    341.69   -296.53
        39     26.25      0.00    341.69    341.69   -317.33
