           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:    13.4 g/kg
   LFC falls between   1.05 km and   1.75   km
    EL falls between  10.85 km and  11.55   km
 CAPE is    2228.970     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35     13.40    300.52    302.97     -0.28
         3      1.05     12.89    301.86    304.23     -0.13
         4      1.75     11.34    305.98    308.10      2.33
         5      2.45      9.93    309.83    311.71      4.35
         6      3.15      8.55    313.69    315.33      6.22
         7      3.85      7.23    317.47    318.87      7.90
         8      4.55      5.99    321.14    322.32      9.09
         9      5.25      4.83    324.65    325.60      9.96
        10      5.95      3.78    327.92    328.67     10.52
        11      6.65      2.84    330.89    331.47     10.74
        12      7.35      2.05    333.50    333.92     10.53
        13      8.05      1.40    335.68    335.97      9.86
        14      8.75      0.91    337.40    337.59      8.62
        15      9.45      0.55    338.68    338.79      6.89
        16     10.15      0.31    339.55    339.61      4.73
        17     10.85      0.17    340.10    340.14      2.22
        18     11.55      0.08    340.43    340.45     -0.55
        19     12.25      0.04    340.61    340.61     -6.34
        20     12.95      0.02    340.70    340.70    -17.56
        21     13.65      0.01    340.74    340.74    -29.20
        22     14.35      0.00    340.76    340.76    -41.24
        23     15.05      0.00    340.77    340.77    -53.69
        24     15.75      0.00    340.77    340.77    -66.54
        25     16.45      0.00    340.77    340.77    -79.82
        26     17.15      0.00    340.77    340.77    -93.53
        27     17.85      0.00    340.77    340.77   -107.68
        28     18.55      0.00    340.77    340.77   -122.30
        29     19.25      0.00    340.77    340.77   -137.40
        30     19.95      0.00    340.77    340.77   -152.99
        31     20.65      0.00    340.77    340.77   -169.08
        32     21.35      0.00    340.77    340.77   -185.70
        33     22.05      0.00    340.77    340.77   -202.86
        34     22.75      0.00    340.77    340.77   -220.59
        35     23.45      0.00    340.77    340.77   -238.89
        36     24.15      0.00    340.77    340.77   -257.78
        37     24.85      0.00    340.77    340.77   -277.29
        38     25.55      0.00    340.77    340.77   -297.44
        39     26.25      0.00    340.77    340.77   -318.25
