           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:    12.9 g/kg
   LFC falls between   1.05 km and   1.75   km
    EL falls between  10.85 km and  11.55   km
 CAPE is    1943.932     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35     12.90    300.52    302.88     -0.37
         3      1.05     12.56    301.41    303.72     -0.64
         4      1.75     11.02    305.51    307.57      1.80
         5      2.45      9.62    309.32    311.14      3.78
         6      3.15      8.27    313.13    314.71      5.60
         7      3.85      6.97    316.86    318.20      7.23
         8      4.55      5.74    320.46    321.59      8.36
         9      5.25      4.61    323.89    324.80      9.16
        10      5.95      3.58    327.08    327.80      9.65
        11      6.65      2.68    329.96    330.50      9.77
        12      7.35      1.91    332.46    332.85      9.47
        13      8.05      1.30    334.54    334.81      8.70
        14      8.75      0.83    336.16    336.34      7.36
        15      9.45      0.50    337.35    337.45      5.55
        16     10.15      0.28    338.15    338.21      3.33
        17     10.85      0.15    338.66    338.69      0.78
        18     11.55      0.07    338.95    338.97     -2.03
        19     12.25      0.03    339.11    339.12     -7.84
        20     12.95      0.02    339.19    339.19    -19.07
        21     13.65      0.01    339.23    339.23    -30.71
        22     14.35      0.00    339.24    339.24    -42.76
        23     15.05      0.00    339.25    339.25    -55.20
        24     15.75      0.00    339.25    339.25    -68.06
        25     16.45      0.00    339.26    339.26    -81.33
        26     17.15      0.00    339.26    339.26    -95.04
        27     17.85      0.00    339.26    339.26   -109.20
        28     18.55      0.00    339.26    339.26   -123.82
        29     19.25      0.00    339.26    339.26   -138.92
        30     19.95      0.00    339.26    339.26   -154.50
        31     20.65      0.00    339.26    339.26   -170.60
        32     21.35      0.00    339.26    339.26   -187.22
        33     22.05      0.00    339.26    339.26   -204.38
        34     22.75      0.00    339.26    339.26   -222.10
        35     23.45      0.00    339.26    339.26   -240.40
        36     24.15      0.00    339.26    339.26   -259.30
        37     24.85      0.00    339.26    339.26   -278.81
        38     25.55      0.00    339.26    339.26   -298.96
        39     26.25      0.00    339.26    339.26   -319.76
