           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:    12.2 g/kg
   LFC falls between   1.05 km and   1.75   km
    EL falls between  10.15 km and  10.85   km
 CAPE is    1565.192     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35     12.20    300.52    302.75     -0.50
         3      1.05     12.10    300.78    303.00     -1.36
         4      1.75     10.58    304.84    306.81      1.05
         5      2.45      9.20    308.59    310.32      2.96
         6      3.15      7.87    312.33    313.83      4.72
         7      3.85      6.60    315.98    317.25      6.28
         8      4.55      5.41    319.49    320.55      7.32
         9      5.25      4.31    322.81    323.66      8.02
        10      5.95      3.32    325.88    326.54      8.39
        11      6.65      2.46    328.63    329.12      8.39
        12      7.35      1.74    330.99    331.34      7.96
        13      8.05      1.16    332.92    333.16      7.05
        14      8.75      0.74    334.41    334.56      5.59
        15      9.45      0.44    335.48    335.57      3.67
        16     10.15      0.24    336.19    336.24      1.36
        17     10.85      0.13    336.63    336.66     -1.26
        18     11.55      0.06    336.88    336.90     -4.10
        19     12.25      0.03    337.02    337.03     -9.93
        20     12.95      0.01    337.09    337.09    -21.17
        21     13.65      0.01    337.12    337.12    -32.82
        22     14.35      0.00    337.13    337.13    -44.87
        23     15.05      0.00    337.14    337.14    -57.31
        24     15.75      0.00    337.14    337.14    -70.17
        25     16.45      0.00    337.14    337.14    -83.45
        26     17.15      0.00    337.14    337.14    -97.16
        27     17.85      0.00    337.14    337.14   -111.31
        28     18.55      0.00    337.14    337.14   -125.93
        29     19.25      0.00    337.14    337.14   -141.03
        30     19.95      0.00    337.14    337.14   -156.62
        31     20.65      0.00    337.14    337.14   -172.71
        32     21.35      0.00    337.14    337.14   -189.33
        33     22.05      0.00    337.14    337.14   -206.50
        34     22.75      0.00    337.14    337.14   -224.22
        35     23.45      0.00    337.14    337.14   -242.52
        36     24.15      0.00    337.14    337.14   -261.41
        37     24.85      0.00    337.14    337.14   -280.92
        38     25.55      0.00    337.14    337.14   -301.07
        39     26.25      0.00    337.14    337.14   -321.88
