           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:    10.2 g/kg
   LFC falls between   1.75 km and   2.45   km
    EL falls between   8.75 km and   9.45   km
 CAPE is    642.7803     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35     10.20    300.52    302.39     -0.86
         3      1.05     10.20    300.52    302.39     -1.97
         4      1.75      9.39    302.67    304.40     -1.36
         5      2.45      8.02    306.41    307.91      0.55
         6      3.15      6.77    309.91    311.19      2.09
         7      3.85      5.59    313.32    314.39      3.42
         8      4.55      4.49    316.55    317.42      4.20
         9      5.25      3.50    319.55    320.23      4.59
        10      5.95      2.63    322.26    322.78      4.63
        11      6.65      1.89    324.62    324.99      4.26
        12      7.35      1.29    326.57    326.83      3.45
        13      8.05      0.83    328.11    328.28      2.17
        14      8.75      0.51    329.24    329.34      0.37
        15      9.45      0.29    330.02    330.07     -1.83
        16     10.15      0.16    330.51    330.54     -4.34
        17     10.85      0.08    330.80    330.82     -7.09
        18     11.55      0.04    330.97    330.97    -10.02
        19     12.25      0.02    331.05    331.05    -15.90
        20     12.95      0.01    331.09    331.09    -27.17
        21     13.65      0.00    331.11    331.11    -38.83
        22     14.35      0.00    331.12    331.12    -50.88
        23     15.05      0.00    331.12    331.12    -63.33
        24     15.75      0.00    331.12    331.12    -76.19
        25     16.45      0.00    331.12    331.12    -89.47
        26     17.15      0.00    331.12    331.12   -103.18
        27     17.85      0.00    331.12    331.12   -117.33
        28     18.55      0.00    331.12    331.12   -131.95
        29     19.25      0.00    331.12    331.12   -147.05
        30     19.95      0.00    331.12    331.12   -162.64
        31     20.65      0.00    331.12    331.12   -178.73
        32     21.35      0.00    331.12    331.12   -195.35
        33     22.05      0.00    331.12    331.12   -212.51
        34     22.75      0.00    331.12    331.12   -230.24
        35     23.45      0.00    331.12    331.12   -248.54
        36     24.15      0.00    331.12    331.12   -267.43
        37     24.85      0.00    331.12    331.12   -286.94
        38     25.55      0.00    331.12    331.12   -307.09
        39     26.25      0.00    331.12    331.12   -327.90
