           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:     9.6 g/kg
   LFC falls between   2.45 km and   3.15   km
    EL falls between   8.05 km and   8.75   km
 CAPE is    425.7031     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35      9.60    300.52    302.28     -0.97
         3      1.05      9.60    300.52    302.28     -2.08
         4      1.75      9.04    302.00    303.67     -2.10
         5      2.45      7.68    305.72    307.15     -0.21
         6      3.15      6.46    309.15    310.37      1.26
         7      3.85      5.30    312.48    313.49      2.52
         8      4.55      4.23    315.62    316.44      3.22
         9      5.25      3.27    318.52    319.16      3.51
        10      5.95      2.44    321.12    321.60      3.45
        11      6.65      1.73    323.36    323.70      2.97
        12      7.35      1.17    325.20    325.43      2.05
        13      8.05      0.75    326.62    326.77      0.67
        14      8.75      0.45    327.66    327.75     -1.23
        15      9.45      0.26    328.36    328.41     -3.49
        16     10.15      0.14    328.80    328.82     -6.06
        17     10.85      0.07    329.05    329.07     -8.84
        18     11.55      0.03    329.20    329.20    -11.79
        19     12.25      0.01    329.27    329.27    -17.68
        20     12.95      0.01    329.30    329.31    -28.96
        21     13.65      0.00    329.32    329.32    -40.62
        22     14.35      0.00    329.33    329.33    -52.67
        23     15.05      0.00    329.33    329.33    -65.12
        24     15.75      0.00    329.33    329.33    -77.98
        25     16.45      0.00    329.33    329.33    -91.26
        26     17.15      0.00    329.33    329.33   -104.97
        27     17.85      0.00    329.33    329.33   -119.13
        28     18.55      0.00    329.33    329.33   -133.74
        29     19.25      0.00    329.33    329.33   -148.84
        30     19.95      0.00    329.33    329.33   -164.43
        31     20.65      0.00    329.33    329.33   -180.52
        32     21.35      0.00    329.33    329.33   -197.14
        33     22.05      0.00    329.33    329.33   -214.31
        34     22.75      0.00    329.33    329.33   -232.03
        35     23.45      0.00    329.33    329.33   -250.33
        36     24.15      0.00    329.33    329.33   -269.22
        37     24.85      0.00    329.33    329.33   -288.74
        38     25.55      0.00    329.33    329.33   -308.88
        39     26.25      0.00    329.33    329.33   -329.69
