           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:    13.3 g/kg
   LFC falls between   1.05 km and   1.75   km
    EL falls between  10.85 km and  11.55   km
 CAPE is    2172.214     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35     13.30    300.52    302.96     -0.30
         3      1.05     12.82    301.77    304.13     -0.23
         4      1.75     11.27    305.89    307.99      2.23
         5      2.45      9.87    309.73    311.60      4.23
         6      3.15      8.49    313.58    315.20      6.10
         7      3.85      7.18    317.35    318.74      7.77
         8      4.55      5.94    321.01    322.17      8.95
         9      5.25      4.79    324.50    325.44      9.80
        10      5.95      3.74    327.75    328.50     10.35
        11      6.65      2.81    330.71    331.27     10.54
        12      7.35      2.02    333.29    333.70     10.32
        13      8.05      1.38    335.45    335.74      9.63
        14      8.75      0.89    337.16    337.34      8.37
        15      9.45      0.54    338.41    338.52      6.62
        16     10.15      0.31    339.27    339.33      4.45
        17     10.85      0.16    339.81    339.85      1.94
        18     11.55      0.08    340.13    340.15     -0.84
        19     12.25      0.04    340.31    340.31     -6.64
        20     12.95      0.02    340.39    340.40    -17.86
        21     13.65      0.01    340.44    340.44    -29.50
        22     14.35      0.00    340.46    340.46    -41.54
        23     15.05      0.00    340.46    340.46    -53.99
        24     15.75      0.00    340.47    340.47    -66.84
        25     16.45      0.00    340.47    340.47    -80.12
        26     17.15      0.00    340.47    340.47    -93.83
        27     17.85      0.00    340.47    340.47   -107.99
        28     18.55      0.00    340.47    340.47   -122.61
        29     19.25      0.00    340.47    340.47   -137.70
        30     19.95      0.00    340.47    340.47   -153.29
        31     20.65      0.00    340.47    340.47   -169.39
        32     21.35      0.00    340.47    340.47   -186.01
        33     22.05      0.00    340.47    340.47   -203.17
        34     22.75      0.00    340.47    340.47   -220.89
        35     23.45      0.00    340.47    340.47   -239.19
        36     24.15      0.00    340.47    340.47   -258.09
        37     24.85      0.00    340.47    340.47   -277.60
        38     25.55      0.00    340.47    340.47   -297.74
        39     26.25      0.00    340.47    340.47   -318.55
