           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:    10.4 g/kg
   LFC falls between   1.75 km and   2.45   km
    EL falls between   8.75 km and   9.45   km
 CAPE is    724.3528     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35     10.40    300.52    302.42     -0.83
         3      1.05     10.40    300.52    302.42     -1.94
         4      1.75      9.51    302.89    304.65     -1.12
         5      2.45      8.14    306.64    308.16      0.79
         6      3.15      6.88    310.16    311.47      2.36
         7      3.85      5.68    313.59    314.68      3.71
         8      4.55      4.58    316.86    317.74      4.52
         9      5.25      3.57    319.89    320.59      4.94
        10      5.95      2.69    322.63    323.16      5.01
        11      6.65      1.94    325.03    325.41      4.68
        12      7.35      1.33    327.03    327.29      3.91
        13      8.05      0.86    328.60    328.77      2.67
        14      8.75      0.53    329.77    329.87      0.90
        15      9.45      0.30    330.57    330.63     -1.27
        16     10.15      0.16    331.08    331.11     -3.77
        17     10.85      0.08    331.39    331.40     -6.51
        18     11.55      0.04    331.56    331.56     -9.43
        19     12.25      0.02    331.65    331.65    -15.30
        20     12.95      0.01    331.69    331.69    -26.57
        21     13.65      0.00    331.71    331.71    -38.23
        22     14.35      0.00    331.72    331.72    -50.28
        23     15.05      0.00    331.72    331.72    -62.73
        24     15.75      0.00    331.72    331.72    -75.59
        25     16.45      0.00    331.72    331.72    -88.87
        26     17.15      0.00    331.72    331.72   -102.58
        27     17.85      0.00    331.72    331.72   -116.74
        28     18.55      0.00    331.72    331.72   -131.35
        29     19.25      0.00    331.72    331.72   -146.45
        30     19.95      0.00    331.72    331.72   -162.04
        31     20.65      0.00    331.72    331.72   -178.13
        32     21.35      0.00    331.72    331.72   -194.75
        33     22.05      0.00    331.72    331.72   -211.92
        34     22.75      0.00    331.72    331.72   -229.64
        35     23.45      0.00    331.72    331.72   -247.94
        36     24.15      0.00    331.72    331.72   -266.83
        37     24.85      0.00    331.72    331.72   -286.34
        38     25.55      0.00    331.72    331.72   -306.49
        39     26.25      0.00    331.72    331.72   -327.30
