           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:     8.9 g/kg
   LFC falls between   2.45 km and   3.15   km
    EL falls between   7.35 km and   8.05   km
 CAPE is    214.7707     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35      8.90    300.52    302.15     -1.10
         3      1.05      8.90    300.52    302.15     -2.21
         4      1.75      8.63    301.23    302.81     -2.95
         5      2.45      7.29    304.89    306.25     -1.11
         6      3.15      6.10    308.24    309.39      0.28
         7      3.85      4.97    311.48    312.42      1.45
         8      4.55      3.94    314.51    315.27      2.05
         9      5.25      3.02    317.29    317.88      2.23
        10      5.95      2.22    319.76    320.19      2.05
        11      6.65      1.57    321.86    322.17      1.44
        12      7.35      1.05    323.56    323.77      0.39
        13      8.05      0.66    324.86    325.00     -1.11
        14      8.75      0.39    325.79    325.87     -3.10
        15      9.45      0.22    326.41    326.45     -5.45
        16     10.15      0.12    326.79    326.82     -8.06
        17     10.85      0.06    327.02    327.03    -10.88
        18     11.55      0.03    327.14    327.14    -13.85
        19     12.25      0.01    327.20    327.20    -19.75
        20     12.95      0.01    327.23    327.23    -31.03
        21     13.65      0.00    327.24    327.24    -42.70
        22     14.35      0.00    327.25    327.25    -54.75
        23     15.05      0.00    327.25    327.25    -67.20
        24     15.75      0.00    327.25    327.25    -80.06
        25     16.45      0.00    327.25    327.25    -93.34
        26     17.15      0.00    327.25    327.25   -107.05
        27     17.85      0.00    327.25    327.25   -121.21
        28     18.55      0.00    327.25    327.25   -135.83
        29     19.25      0.00    327.25    327.25   -150.92
        30     19.95      0.00    327.25    327.25   -166.51
        31     20.65      0.00    327.25    327.25   -182.61
        32     21.35      0.00    327.25    327.25   -199.23
        33     22.05      0.00    327.25    327.25   -216.39
        34     22.75      0.00    327.25    327.25   -234.11
        35     23.45      0.00    327.25    327.25   -252.41
        36     24.15      0.00    327.25    327.25   -271.30
        37     24.85      0.00    327.25    327.25   -290.82
        38     25.55      0.00    327.25    327.25   -310.96
        39     26.25      0.00    327.25    327.25   -331.77
