           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:     8.2 g/kg
   LFC falls between   3.15 km and   3.85   km
    EL falls between   5.95 km and   6.65   km
 CAPE is    59.70839     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35      8.20    300.52    302.02     -1.23
         3      1.05      8.20    300.52    302.02     -2.34
         4      1.75      8.20    300.52    302.02     -3.74
         5      2.45      6.91    304.04    305.32     -2.04
         6      3.15      5.74    307.31    308.39     -0.72
         7      3.85      4.65    310.45    311.33      0.36
         8      4.55      3.66    313.37    314.07      0.85
         9      5.25      2.78    316.03    316.57      0.92
        10      5.95      2.03    318.37    318.76      0.61
        11      6.65      1.41    320.33    320.61     -0.12
        12      7.35      0.93    321.90    322.09     -1.30
        13      8.05      0.58    323.08    323.20     -2.91
        14      8.75      0.34    323.91    323.98     -4.99
        15      9.45      0.19    324.46    324.49     -7.41
        16     10.15      0.10    324.79    324.81    -10.07
        17     10.85      0.05    324.98    324.99    -12.92
        18     11.55      0.02    325.08    325.09    -15.91
        19     12.25      0.01    325.13    325.14    -21.82
        20     12.95      0.00    325.16    325.16    -33.10
        21     13.65      0.00    325.17    325.17    -44.77
        22     14.35      0.00    325.17    325.17    -56.83
        23     15.05      0.00    325.17    325.17    -69.28
        24     15.75      0.00    325.18    325.18    -82.14
        25     16.45      0.00    325.18    325.18    -95.41
        26     17.15      0.00    325.18    325.18   -109.12
        27     17.85      0.00    325.18    325.18   -123.28
        28     18.55      0.00    325.18    325.18   -137.90
        29     19.25      0.00    325.18    325.18   -153.00
        30     19.95      0.00    325.18    325.18   -168.58
        31     20.65      0.00    325.18    325.18   -184.68
        32     21.35      0.00    325.18    325.18   -201.30
        33     22.05      0.00    325.18    325.18   -218.46
        34     22.75      0.00    325.18    325.18   -236.18
        35     23.45      0.00    325.18    325.18   -254.48
        36     24.15      0.00    325.18    325.18   -273.38
        37     24.85      0.00    325.18    325.18   -292.89
        38     25.55      0.00    325.18    325.18   -313.04
        39     26.25      0.00    325.18    325.18   -333.84
