           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:     9.7 g/kg
   LFC falls between   2.45 km and   3.15   km
    EL falls between   8.05 km and   8.75   km
 CAPE is    458.8047     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35      9.70    300.52    302.30     -0.96
         3      1.05      9.70    300.52    302.30     -2.06
         4      1.75      9.10    302.11    303.79     -1.97
         5      2.45      7.74    305.84    307.28     -0.08
         6      3.15      6.51    309.28    310.51      1.40
         7      3.85      5.35    312.62    313.64      2.67
         8      4.55      4.27    315.78    316.60      3.38
         9      5.25      3.31    318.70    319.34      3.70
        10      5.95      2.47    321.31    321.80      3.65
        11      6.65      1.76    323.57    323.92      3.19
        12      7.35      1.19    325.43    325.66      2.28
        13      8.05      0.76    326.87    327.02      0.92
        14      8.75      0.46    327.92    328.01     -0.96
        15      9.45      0.26    328.63    328.68     -3.21
        16     10.15      0.14    329.08    329.11     -5.77
        17     10.85      0.07    329.35    329.36     -8.55
        18     11.55      0.03    329.49    329.50    -11.50
        19     12.25      0.01    329.57    329.57    -17.38
        20     12.95      0.01    329.60    329.60    -28.66
        21     13.65      0.00    329.62    329.62    -40.32
        22     14.35      0.00    329.62    329.62    -52.38
        23     15.05      0.00    329.63    329.63    -64.83
        24     15.75      0.00    329.63    329.63    -77.68
        25     16.45      0.00    329.63    329.63    -90.96
        26     17.15      0.00    329.63    329.63   -104.67
        27     17.85      0.00    329.63    329.63   -118.83
        28     18.55      0.00    329.63    329.63   -133.45
        29     19.25      0.00    329.63    329.63   -148.54
        30     19.95      0.00    329.63    329.63   -164.13
        31     20.65      0.00    329.63    329.63   -180.23
        32     21.35      0.00    329.63    329.63   -196.85
        33     22.05      0.00    329.63    329.63   -214.01
        34     22.75      0.00    329.63    329.63   -231.73
        35     23.45      0.00    329.63    329.63   -250.03
        36     24.15      0.00    329.63    329.63   -268.93
        37     24.85      0.00    329.63    329.63   -288.44
        38     25.55      0.00    329.63    329.63   -308.58
        39     26.25      0.00    329.63    329.63   -329.39
