           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:     7.0 g/kg
   LFC falls between   0.00 km and  -0.35   km
    EL falls between   0.00 km and  -0.35   km
 CAPE is    0.000000     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35      7.00    300.52    301.80     -1.45
         3      1.05      7.00    300.52    301.80     -2.56
         4      1.75      7.00    300.52    301.80     -3.96
         5      2.45      6.31    302.41    303.57     -3.79
         6      3.15      5.15    305.64    306.61     -2.50
         7      3.85      4.12    308.60    309.37     -1.60
         8      4.55      3.20    311.33    311.94     -1.29
         9      5.25      2.39    313.77    314.23     -1.41
        10      5.95      1.71    315.88    316.21     -1.94
        11      6.65      1.17    317.62    317.84     -2.89
        12      7.35      0.75    318.97    319.11     -4.27
        13      8.05      0.46    319.96    320.05     -6.06
        14      8.75      0.27    320.63    320.68     -8.29
        15      9.45      0.14    321.06    321.09    -10.81
        16     10.15      0.07    321.32    321.34    -13.54
        17     10.85      0.04    321.47    321.47    -16.44
        18     11.55      0.02    321.54    321.55    -19.45
        19     12.25      0.01    321.58    321.58    -25.37
        20     12.95      0.00    321.60    321.60    -36.66
        21     13.65      0.00    321.61    321.61    -48.33
        22     14.35      0.00    321.61    321.61    -60.39
        23     15.05      0.00    321.61    321.61    -72.84
        24     15.75      0.00    321.61    321.61    -85.70
        25     16.45      0.00    321.61    321.61    -98.98
        26     17.15      0.00    321.61    321.61   -112.69
        27     17.85      0.00    321.61    321.61   -126.84
        28     18.55      0.00    321.61    321.61   -141.46
        29     19.25      0.00    321.61    321.61   -156.56
        30     19.95      0.00    321.61    321.61   -172.15
        31     20.65      0.00    321.61    321.61   -188.24
        32     21.35      0.00    321.61    321.61   -204.86
        33     22.05      0.00    321.61    321.61   -222.02
        34     22.75      0.00    321.61    321.61   -239.75
        35     23.45      0.00    321.61    321.61   -258.05
        36     24.15      0.00    321.61    321.61   -276.94
        37     24.85      0.00    321.61    321.61   -296.45
        38     25.55      0.00    321.61    321.61   -316.60
        39     26.25      0.00    321.61    321.61   -337.41
