           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:     7.3 g/kg
   LFC falls between   0.00 km and  -0.35   km
    EL falls between   0.00 km and  -0.35   km
 CAPE is    0.000000     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35      7.30    300.52    301.86     -1.40
         3      1.05      7.30    300.52    301.86     -2.50
         4      1.75      7.30    300.52    301.86     -3.91
         5      2.45      6.46    302.81    304.01     -3.36
         6      3.15      5.30    306.07    307.06     -2.05
         7      3.85      4.25    309.07    309.87     -1.10
         8      4.55      3.31    311.85    312.48     -0.74
         9      5.25      2.48    314.35    314.82     -0.82
        10      5.95      1.79    316.51    316.86     -1.29
        11      6.65      1.22    318.30    318.54     -2.19
        12      7.35      0.80    319.71    319.86     -3.52
        13      8.05      0.49    320.74    320.84     -5.27
        14      8.75      0.28    321.45    321.51     -7.46
        15      9.45      0.15    321.91    321.94     -9.96
        16     10.15      0.08    322.19    322.20    -12.68
        17     10.85      0.04    322.34    322.35    -15.56
        18     11.55      0.02    322.43    322.43    -18.56
        19     12.25      0.01    322.47    322.47    -24.48
        20     12.95      0.00    322.49    322.49    -35.77
        21     13.65      0.00    322.50    322.50    -47.45
        22     14.35      0.00    322.50    322.50    -59.50
        23     15.05      0.00    322.50    322.50    -71.95
        24     15.75      0.00    322.50    322.50    -84.81
        25     16.45      0.00    322.50    322.50    -98.09
        26     17.15      0.00    322.50    322.50   -111.80
        27     17.85      0.00    322.50    322.50   -125.96
        28     18.55      0.00    322.50    322.50   -140.58
        29     19.25      0.00    322.50    322.50   -155.67
        30     19.95      0.00    322.50    322.50   -171.26
        31     20.65      0.00    322.50    322.50   -187.35
        32     21.35      0.00    322.50    322.50   -203.97
        33     22.05      0.00    322.50    322.50   -221.14
        34     22.75      0.00    322.50    322.50   -238.86
        35     23.45      0.00    322.50    322.50   -257.16
        36     24.15      0.00    322.50    322.50   -276.05
        37     24.85      0.00    322.50    322.50   -295.57
        38     25.55      0.00    322.50    322.50   -315.71
        39     26.25      0.00    322.50    322.50   -336.52
