           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:     7.7 g/kg
   LFC falls between   0.00 km and  -0.35   km
    EL falls between   0.00 km and  -0.35   km
 CAPE is    0.000000     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35      7.70    300.52    301.93     -1.32
         3      1.05      7.70    300.52    301.93     -2.43
         4      1.75      7.70    300.52    301.93     -3.83
         5      2.45      6.66    303.36    304.59     -2.77
         6      3.15      5.49    306.63    307.65     -1.45
         7      3.85      4.43    309.69    310.52     -0.45
         8      4.55      3.46    312.53    313.19     -0.03
         9      5.25      2.61    315.10    315.60     -0.04
        10      5.95      1.89    317.34    317.71     -0.44
        11      6.65      1.30    319.21    319.47     -1.27
        12      7.35      0.85    320.69    320.86     -2.53
        13      8.05      0.53    321.79    321.89     -4.22
        14      8.75      0.31    322.55    322.61     -6.36
        15      9.45      0.17    323.04    323.08     -8.82
        16     10.15      0.09    323.34    323.36    -11.52
        17     10.85      0.04    323.51    323.52    -14.39
        18     11.55      0.02    323.61    323.61    -17.38
        19     12.25      0.01    323.65    323.65    -23.30
        20     12.95      0.00    323.67    323.67    -34.59
        21     13.65      0.00    323.68    323.68    -46.26
        22     14.35      0.00    323.69    323.69    -58.31
        23     15.05      0.00    323.69    323.69    -70.77
        24     15.75      0.00    323.69    323.69    -83.62
        25     16.45      0.00    323.69    323.69    -96.90
        26     17.15      0.00    323.69    323.69   -110.61
        27     17.85      0.00    323.69    323.69   -124.77
        28     18.55      0.00    323.69    323.69   -139.39
        29     19.25      0.00    323.69    323.69   -154.48
        30     19.95      0.00    323.69    323.69   -170.07
        31     20.65      0.00    323.69    323.69   -186.17
        32     21.35      0.00    323.69    323.69   -202.79
        33     22.05      0.00    323.69    323.69   -219.95
        34     22.75      0.00    323.69    323.69   -237.67
        35     23.45      0.00    323.69    323.69   -255.97
        36     24.15      0.00    323.69    323.69   -274.87
        37     24.85      0.00    323.69    323.69   -294.38
        38     25.55      0.00    323.69    323.69   -314.53
        39     26.25      0.00    323.69    323.69   -335.33
