           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:    11.5 g/kg
   LFC falls between   1.05 km and   1.75   km
    EL falls between   9.45 km and  10.15   km
 CAPE is    1206.650     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35     11.50    300.52    302.63     -0.63
         3      1.05     11.50    300.52    302.63     -1.73
         4      1.75     10.15    304.11    305.99      0.23
         5      2.45      8.79    307.85    309.50      2.13
         6      3.15      7.48    311.51    312.93      3.82
         7      3.85      6.24    315.07    316.27      5.30
         8      4.55      5.08    318.49    319.48      6.25
         9      5.25      4.01    321.70    322.49      6.85
        10      5.95      3.07    324.65    325.25      7.10
        11      6.65      2.25    327.26    327.71      6.97
        12      7.35      1.57    329.48    329.79      6.41
        13      8.05      1.04    331.27    331.48      5.37
        14      8.75      0.65    332.62    332.76      3.78
        15      9.45      0.38    333.58    333.66      1.76
        16     10.15      0.21    334.21    334.25     -0.63
        17     10.85      0.11    334.59    334.62     -3.30
        18     11.55      0.05    334.81    334.82     -6.17
        19     12.25      0.02    334.93    334.93    -12.02
        20     12.95      0.01    334.98    334.99    -23.28
        21     13.65      0.00    335.01    335.01    -34.93
        22     14.35      0.00    335.02    335.02    -46.98
        23     15.05      0.00    335.03    335.03    -59.43
        24     15.75      0.00    335.03    335.03    -72.28
        25     16.45      0.00    335.03    335.03    -85.56
        26     17.15      0.00    335.03    335.03    -99.27
        27     17.85      0.00    335.03    335.03   -113.43
        28     18.55      0.00    335.03    335.03   -128.05
        29     19.25      0.00    335.03    335.03   -143.14
        30     19.95      0.00    335.03    335.03   -158.73
        31     20.65      0.00    335.03    335.03   -174.82
        32     21.35      0.00    335.03    335.03   -191.44
        33     22.05      0.00    335.03    335.03   -208.61
        34     22.75      0.00    335.03    335.03   -226.33
        35     23.45      0.00    335.03    335.03   -244.63
        36     24.15      0.00    335.03    335.03   -263.52
        37     24.85      0.00    335.03    335.03   -283.04
        38     25.55      0.00    335.03    335.03   -303.18
        39     26.25      0.00    335.03    335.03   -323.99
