           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:     9.1 g/kg
   LFC falls between   2.45 km and   3.15   km
    EL falls between   7.35 km and   8.05   km
 CAPE is    271.4525     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35      9.10    300.52    302.19     -1.07
         3      1.05      9.10    300.52    302.19     -2.17
         4      1.75      8.75    301.45    303.06     -2.71
         5      2.45      7.40    305.13    306.51     -0.85
         6      3.15      6.20    308.51    309.67      0.57
         7      3.85      5.06    311.77    312.73      1.76
         8      4.55      4.02    314.83    315.61      2.38
         9      5.25      3.09    317.65    318.25      2.60
        10      5.95      2.28    320.15    320.60      2.45
        11      6.65      1.61    322.29    322.61      1.88
        12      7.35      1.08    324.03    324.25      0.86
        13      8.05      0.69    325.37    325.50     -0.60
        14      8.75      0.41    326.33    326.41     -2.57
        15      9.45      0.23    326.97    327.01     -4.89
        16     10.15      0.12    327.37    327.39     -7.49
        17     10.85      0.06    327.60    327.61    -10.30
        18     11.55      0.03    327.72    327.73    -13.26
        19     12.25      0.01    327.79    327.79    -19.16
        20     12.95      0.01    327.82    327.82    -30.44
        21     13.65      0.00    327.83    327.83    -42.11
        22     14.35      0.00    327.84    327.84    -54.16
        23     15.05      0.00    327.84    327.84    -66.61
        24     15.75      0.00    327.84    327.84    -79.47
        25     16.45      0.00    327.84    327.84    -92.75
        26     17.15      0.00    327.84    327.84   -106.46
        27     17.85      0.00    327.84    327.84   -120.61
        28     18.55      0.00    327.84    327.84   -135.23
        29     19.25      0.00    327.84    327.84   -150.33
        30     19.95      0.00    327.84    327.84   -165.92
        31     20.65      0.00    327.84    327.84   -182.01
        32     21.35      0.00    327.84    327.84   -198.63
        33     22.05      0.00    327.84    327.84   -215.79
        34     22.75      0.00    327.84    327.84   -233.52
        35     23.45      0.00    327.84    327.84   -251.82
        36     24.15      0.00    327.84    327.84   -270.71
        37     24.85      0.00    327.84    327.84   -290.22
        38     25.55      0.00    327.84    327.84   -310.37
        39     26.25      0.00    327.84    327.84   -331.18
