           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:    12.8 g/kg
   LFC falls between   1.05 km and   1.75   km
    EL falls between  10.85 km and  11.55   km
 CAPE is    1886.556     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35     12.80    300.52    302.86     -0.39
         3      1.05     12.49    301.32    303.62     -0.74
         4      1.75     10.95    305.42    307.46      1.70
         5      2.45      9.56    309.22    311.02      3.66
         6      3.15      8.21    313.02    314.58      5.48
         7      3.85      6.91    316.73    318.07      7.10
         8      4.55      5.69    320.33    321.44      8.22
         9      5.25      4.56    323.74    324.64      9.00
        10      5.95      3.54    326.91    327.62      9.47
        11      6.65      2.65    329.77    330.30      9.57
        12      7.35      1.89    332.26    332.64      9.26
        13      8.05      1.28    334.31    334.57      8.47
        14      8.75      0.82    335.92    336.08      7.11
        15      9.45      0.49    337.08    337.18      5.28
        16     10.15      0.28    337.87    337.93      3.05
        17     10.85      0.15    338.37    338.40      0.49
        18     11.55      0.07    338.66    338.67     -2.32
        19     12.25      0.03    338.81    338.82     -8.13
        20     12.95      0.01    338.89    338.89    -19.37
        21     13.65      0.01    338.93    338.93    -31.01
        22     14.35      0.00    338.94    338.94    -43.06
        23     15.05      0.00    338.95    338.95    -55.50
        24     15.75      0.00    338.95    338.95    -68.36
        25     16.45      0.00    338.95    338.95    -81.64
        26     17.15      0.00    338.95    338.95    -95.35
        27     17.85      0.00    338.95    338.95   -109.50
        28     18.55      0.00    338.95    338.95   -124.12
        29     19.25      0.00    338.95    338.95   -139.22
        30     19.95      0.00    338.95    338.95   -154.81
        31     20.65      0.00    338.95    338.95   -170.90
        32     21.35      0.00    338.95    338.95   -187.52
        33     22.05      0.00    338.95    338.95   -204.68
        34     22.75      0.00    338.95    338.95   -222.41
        35     23.45      0.00    338.95    338.95   -240.70
        36     24.15      0.00    338.95    338.95   -259.60
        37     24.85      0.00    338.95    338.95   -279.11
        38     25.55      0.00    338.95    338.95   -299.26
        39     26.25      0.00    338.95    338.95   -320.07
