           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:    12.3 g/kg
   LFC falls between   1.05 km and   1.75   km
    EL falls between  10.15 km and  10.85   km
 CAPE is    1617.417     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35     12.30    300.52    302.77     -0.48
         3      1.05     12.16    300.87    303.11     -1.25
         4      1.75     10.64    304.94    306.92      1.16
         5      2.45      9.26    308.70    310.44      3.08
         6      3.15      7.92    312.45    313.96      4.85
         7      3.85      6.65    316.10    317.39      6.42
         8      4.55      5.45    319.63    320.70      7.47
         9      5.25      4.35    322.97    323.83      8.18
        10      5.95      3.36    326.05    326.72      8.57
        11      6.65      2.49    328.82    329.32      8.59
        12      7.35      1.76    331.20    331.56      8.18
        13      8.05      1.18    333.15    333.40      7.29
        14      8.75      0.75    334.66    334.81      5.84
        15      9.45      0.45    335.75    335.84      3.94
        16     10.15      0.25    336.47    336.52      1.64
        17     10.85      0.13    336.92    336.95     -0.97
        18     11.55      0.06    337.18    337.19     -3.80
        19     12.25      0.03    337.32    337.32     -9.63
        20     12.95      0.01    337.39    337.39    -20.87
        21     13.65      0.01    337.42    337.42    -32.52
        22     14.35      0.00    337.43    337.43    -44.57
        23     15.05      0.00    337.44    337.44    -57.01
        24     15.75      0.00    337.44    337.44    -69.87
        25     16.45      0.00    337.44    337.44    -83.15
        26     17.15      0.00    337.44    337.44    -96.86
        27     17.85      0.00    337.44    337.44   -111.01
        28     18.55      0.00    337.44    337.44   -125.63
        29     19.25      0.00    337.44    337.44   -140.73
        30     19.95      0.00    337.44    337.44   -156.32
        31     20.65      0.00    337.44    337.44   -172.41
        32     21.35      0.00    337.44    337.44   -189.03
        33     22.05      0.00    337.44    337.44   -206.19
        34     22.75      0.00    337.44    337.44   -223.92
        35     23.45      0.00    337.44    337.44   -242.21
        36     24.15      0.00    337.44    337.44   -261.11
        37     24.85      0.00    337.44    337.44   -280.62
        38     25.55      0.00    337.44    337.44   -300.77
        39     26.25      0.00    337.44    337.44   -321.58
