           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:    10.6 g/kg
   LFC falls between   1.75 km and   2.45   km
    EL falls between   8.75 km and   9.45   km
 CAPE is    805.4866     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35     10.60    300.52    302.46     -0.79
         3      1.05     10.60    300.52    302.46     -1.90
         4      1.75      9.63    303.11    304.89     -0.87
         5      2.45      8.26    306.86    308.40      1.04
         6      3.15      6.99    310.41    311.74      2.63
         7      3.85      5.78    313.87    314.97      4.00
         8      4.55      4.67    317.16    318.06      4.84
         9      5.25      3.65    320.22    320.94      5.29
        10      5.95      2.76    323.01    323.55      5.40
        11      6.65      1.99    325.44    325.84      5.10
        12      7.35      1.37    327.48    327.75      4.37
        13      8.05      0.89    329.09    329.27      3.16
        14      8.75      0.55    330.29    330.40      1.43
        15      9.45      0.32    331.12    331.18     -0.72
        16     10.15      0.17    331.65    331.68     -3.19
        17     10.85      0.09    331.97    331.99     -5.93
        18     11.55      0.04    332.15    332.16     -8.84
        19     12.25      0.02    332.24    332.24    -14.71
        20     12.95      0.01    332.29    332.29    -25.97
        21     13.65      0.00    332.31    332.31    -37.63
        22     14.35      0.00    332.32    332.32    -49.68
        23     15.05      0.00    332.32    332.32    -62.13
        24     15.75      0.00    332.32    332.32    -74.99
        25     16.45      0.00    332.32    332.32    -88.27
        26     17.15      0.00    332.32    332.32   -101.98
        27     17.85      0.00    332.32    332.32   -116.14
        28     18.55      0.00    332.32    332.32   -130.75
        29     19.25      0.00    332.32    332.32   -145.85
        30     19.95      0.00    332.32    332.32   -161.44
        31     20.65      0.00    332.32    332.32   -177.53
        32     21.35      0.00    332.32    332.32   -194.15
        33     22.05      0.00    332.32    332.32   -211.32
        34     22.75      0.00    332.32    332.32   -229.04
        35     23.45      0.00    332.32    332.32   -247.34
        36     24.15      0.00    332.32    332.32   -266.23
        37     24.85      0.00    332.32    332.32   -285.74
        38     25.55      0.00    332.32    332.32   -305.89
        39     26.25      0.00    332.32    332.32   -326.70
