           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:     7.9 g/kg
   LFC falls between   3.85 km and   4.55   km
    EL falls between   5.25 km and   5.95   km
 CAPE is    14.64524     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35      7.90    300.52    301.97     -1.29
         3      1.05      7.90    300.52    301.97     -2.39
         4      1.75      7.90    300.52    301.97     -3.80
         5      2.45      6.76    303.63    304.88     -2.48
         6      3.15      5.59    306.90    307.95     -1.16
         7      3.85      4.52    309.99    310.85     -0.12
         8      4.55      3.54    312.87    313.55      0.32
         9      5.25      2.68    315.48    315.99      0.35
        10      5.95      1.94    317.75    318.13     -0.02
        11      6.65      1.35    319.66    319.92     -0.81
        12      7.35      0.88    321.18    321.35     -2.03
        13      8.05      0.55    322.31    322.41     -3.69
        14      8.75      0.32    323.10    323.16     -5.81
        15      9.45      0.18    323.61    323.64     -8.25
        16     10.15      0.09    323.92    323.94    -10.94
        17     10.85      0.05    324.10    324.11    -13.80
        18     11.55      0.02    324.20    324.20    -16.79
        19     12.25      0.01    324.24    324.25    -22.71
        20     12.95      0.00    324.27    324.27    -34.00
        21     13.65      0.00    324.28    324.28    -45.66
        22     14.35      0.00    324.28    324.28    -57.72
        23     15.05      0.00    324.28    324.28    -70.17
        24     15.75      0.00    324.28    324.28    -83.03
        25     16.45      0.00    324.28    324.28    -96.31
        26     17.15      0.00    324.28    324.28   -110.02
        27     17.85      0.00    324.28    324.28   -124.17
        28     18.55      0.00    324.28    324.28   -138.79
        29     19.25      0.00    324.28    324.28   -153.89
        30     19.95      0.00    324.28    324.28   -169.48
        31     20.65      0.00    324.28    324.28   -185.57
        32     21.35      0.00    324.28    324.28   -202.19
        33     22.05      0.00    324.28    324.28   -219.35
        34     22.75      0.00    324.28    324.28   -237.08
        35     23.45      0.00    324.28    324.28   -255.38
        36     24.15      0.00    324.28    324.28   -274.27
        37     24.85      0.00    324.28    324.28   -293.78
        38     25.55      0.00    324.28    324.28   -313.93
        39     26.25      0.00    324.28    324.28   -334.74
