           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:     8.6 g/kg
   LFC falls between   3.15 km and   3.85   km
    EL falls between   6.65 km and   7.35   km
 CAPE is    139.3087     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35      8.60    300.52    302.09     -1.16
         3      1.05      8.60    300.52    302.09     -2.27
         4      1.75      8.46    300.90    302.45     -3.32
         5      2.45      7.13    304.53    305.86     -1.51
         6      3.15      5.94    307.85    308.96     -0.14
         7      3.85      4.83    311.04    311.96      0.99
         8      4.55      3.82    314.03    314.76      1.54
         9      5.25      2.91    316.76    317.32      1.68
        10      5.95      2.14    319.17    319.58      1.43
        11      6.65      1.50    321.21    321.50      0.77
        12      7.35      1.00    322.86    323.05     -0.33
        13      8.05      0.63    324.10    324.23     -1.88
        14      8.75      0.37    324.99    325.06     -3.91
        15      9.45      0.21    325.57    325.62     -6.28
        16     10.15      0.11    325.94    325.96     -8.92
        17     10.85      0.05    326.14    326.15    -11.76
        18     11.55      0.03    326.26    326.26    -14.73
        19     12.25      0.01    326.31    326.32    -20.64
        20     12.95      0.00    326.34    326.34    -31.92
        21     13.65      0.00    326.35    326.35    -43.59
        22     14.35      0.00    326.36    326.36    -55.64
        23     15.05      0.00    326.36    326.36    -68.09
        24     15.75      0.00    326.36    326.36    -80.95
        25     16.45      0.00    326.36    326.36    -94.23
        26     17.15      0.00    326.36    326.36   -107.94
        27     17.85      0.00    326.36    326.36   -122.10
        28     18.55      0.00    326.36    326.36   -136.72
        29     19.25      0.00    326.36    326.36   -151.81
        30     19.95      0.00    326.36    326.36   -167.40
        31     20.65      0.00    326.36    326.36   -183.49
        32     21.35      0.00    326.36    326.36   -200.11
        33     22.05      0.00    326.36    326.36   -217.28
        34     22.75      0.00    326.36    326.36   -235.00
        35     23.45      0.00    326.36    326.36   -253.30
        36     24.15      0.00    326.36    326.36   -272.19
        37     24.85      0.00    326.36    326.36   -291.71
        38     25.55      0.00    326.36    326.36   -311.85
        39     26.25      0.00    326.36    326.36   -332.66
