           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:    11.9 g/kg
   LFC falls between   1.05 km and   1.75   km
    EL falls between  10.15 km and  10.85   km
 CAPE is    1407.786     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35     11.90    300.52    302.70     -0.55
         3      1.05     11.90    300.52    302.70     -1.66
         4      1.75     10.39    304.55    306.48      0.72
         5      2.45      9.03    308.27    309.97      2.61
         6      3.15      7.70    311.98    313.45      4.34
         7      3.85      6.44    315.59    316.83      5.86
         8      4.55      5.26    319.07    320.09      6.87
         9      5.25      4.18    322.34    323.17      7.52
        10      5.95      3.21    325.36    325.99      7.85
        11      6.65      2.37    328.05    328.52      7.79
        12      7.35      1.66    330.35    330.68      7.30
        13      8.05      1.11    332.22    332.44      6.34
        14      8.75      0.70    333.65    333.79      4.82
        15      9.45      0.41    334.67    334.75      2.86
        16     10.15      0.23    335.35    335.39      0.51
        17     10.85      0.12    335.76    335.79     -2.13
        18     11.55      0.06    336.00    336.01     -4.98
        19     12.25      0.03    336.13    336.13    -10.82
        20     12.95      0.01    336.19    336.19    -22.07
        21     13.65      0.00    336.22    336.22    -33.72
        22     14.35      0.00    336.23    336.23    -45.77
        23     15.05      0.00    336.24    336.24    -58.22
        24     15.75      0.00    336.24    336.24    -71.07
        25     16.45      0.00    336.24    336.24    -84.35
        26     17.15      0.00    336.24    336.24    -98.06
        27     17.85      0.00    336.24    336.24   -112.22
        28     18.55      0.00    336.24    336.24   -126.84
        29     19.25      0.00    336.24    336.24   -141.93
        30     19.95      0.00    336.24    336.24   -157.52
        31     20.65      0.00    336.24    336.24   -173.62
        32     21.35      0.00    336.24    336.24   -190.24
        33     22.05      0.00    336.24    336.24   -207.40
        34     22.75      0.00    336.24    336.24   -225.12
        35     23.45      0.00    336.24    336.24   -243.42
        36     24.15      0.00    336.24    336.24   -262.31
        37     24.85      0.00    336.24    336.24   -281.83
        38     25.55      0.00    336.24    336.24   -301.97
        39     26.25      0.00    336.24    336.24   -322.78
