           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:    13.8 g/kg
   LFC falls between   0.35 km and   1.05   km
    EL falls between  11.55 km and  12.25   km
 CAPE is    2473.803     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35     13.80    300.52    303.05     -0.21
         3      1.05     13.15    302.21    304.64      0.28
         4      1.75     11.60    306.35    308.52      2.75
         5      2.45     10.18    310.24    312.16      4.80
         6      3.15      8.79    314.13    315.81      6.71
         7      3.85      7.45    317.96    319.40      8.43
         8      4.55      6.19    321.68    322.89      9.67
         9      5.25      5.01    325.24    326.23     10.59
        10      5.95      3.94    328.58    329.37     11.22
        11      6.65      2.98    331.63    332.23     11.50
        12      7.35      2.16    334.31    334.75     11.37
        13      8.05      1.49    336.58    336.88     10.78
        14      8.75      0.97    338.38    338.58      9.61
        15      9.45      0.59    339.73    339.85      7.95
        16     10.15      0.34    340.66    340.73      5.85
        17     10.85      0.18    341.26    341.30      3.38
        18     11.55      0.09    341.61    341.63      0.64
        19     12.25      0.04    341.81    341.82     -5.14
        20     12.95      0.02    341.91    341.91    -16.35
        21     13.65      0.01    341.95    341.95    -27.99
        22     14.35      0.00    341.97    341.98    -40.02
        23     15.05      0.00    341.98    341.98    -52.47
        24     15.75      0.00    341.99    341.99    -65.32
        25     16.45      0.00    341.99    341.99    -78.60
        26     17.15      0.00    341.99    341.99    -92.31
        27     17.85      0.00    341.99    341.99   -106.47
        28     18.55      0.00    341.99    341.99   -121.09
        29     19.25      0.00    341.99    341.99   -136.18
        30     19.95      0.00    341.99    341.99   -151.77
        31     20.65      0.00    341.99    341.99   -167.86
        32     21.35      0.00    341.99    341.99   -184.48
        33     22.05      0.00    341.99    341.99   -201.65
        34     22.75      0.00    341.99    341.99   -219.37
        35     23.45      0.00    341.99    341.99   -237.67
        36     24.15      0.00    341.99    341.99   -256.56
        37     24.85      0.00    341.99    341.99   -276.08
        38     25.55      0.00    341.99    341.99   -296.22
        39     26.25      0.00    341.99    341.99   -317.03
