           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:    12.1 g/kg
   LFC falls between   1.05 km and   1.75   km
    EL falls between  10.15 km and  10.85   km
 CAPE is    1512.852     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35     12.10    300.52    302.74     -0.52
         3      1.05     12.03    300.70    302.90     -1.46
         4      1.75     10.51    304.75    306.70      0.94
         5      2.45      9.14    308.49    310.21      2.84
         6      3.15      7.81    312.21    313.70      4.60
         7      3.85      6.55    315.85    317.11      6.14
         8      4.55      5.36    319.35    320.39      7.17
         9      5.25      4.26    322.66    323.50      7.85
        10      5.95      3.28    325.71    326.36      8.21
        11      6.65      2.43    328.43    328.92      8.19
        12      7.35      1.71    330.78    331.12      7.74
        13      8.05      1.15    332.69    332.92      6.81
        14      8.75      0.72    334.16    334.30      5.33
        15      9.45      0.43    335.21    335.30      3.40
        16     10.15      0.24    335.91    335.96      1.08
        17     10.85      0.12    336.34    336.37     -1.55
        18     11.55      0.06    336.59    336.60     -4.39
        19     12.25      0.03    336.72    336.73    -10.22
        20     12.95      0.01    336.79    336.79    -21.47
        21     13.65      0.01    336.82    336.82    -33.12
        22     14.35      0.00    336.83    336.83    -45.17
        23     15.05      0.00    336.84    336.84    -57.62
        24     15.75      0.00    336.84    336.84    -70.47
        25     16.45      0.00    336.84    336.84    -83.75
        26     17.15      0.00    336.84    336.84    -97.46
        27     17.85      0.00    336.84    336.84   -111.62
        28     18.55      0.00    336.84    336.84   -126.23
        29     19.25      0.00    336.84    336.84   -141.33
        30     19.95      0.00    336.84    336.84   -156.92
        31     20.65      0.00    336.84    336.84   -173.01
        32     21.35      0.00    336.84    336.84   -189.63
        33     22.05      0.00    336.84    336.84   -206.80
        34     22.75      0.00    336.84    336.84   -224.52
        35     23.45      0.00    336.84    336.84   -242.82
        36     24.15      0.00    336.84    336.84   -261.71
        37     24.85      0.00    336.84    336.84   -281.22
        38     25.55      0.00    336.84    336.84   -301.37
        39     26.25      0.00    336.84    336.84   -322.18
