           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:    10.3 g/kg
   LFC falls between   1.75 km and   2.45   km
    EL falls between   8.75 km and   9.45   km
 CAPE is    683.6227     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35     10.30    300.52    302.41     -0.85
         3      1.05     10.30    300.52    302.41     -1.95
         4      1.75      9.45    302.78    304.52     -1.24
         5      2.45      8.08    306.52    308.03      0.67
         6      3.15      6.83    310.04    311.33      2.22
         7      3.85      5.64    313.46    314.53      3.56
         8      4.55      4.53    316.70    317.58      4.36
         9      5.25      3.54    319.72    320.41      4.77
        10      5.95      2.66    322.45    322.97      4.82
        11      6.65      1.91    324.82    325.20      4.47
        12      7.35      1.31    326.80    327.06      3.68
        13      8.05      0.85    328.36    328.53      2.42
        14      8.75      0.52    329.50    329.61      0.63
        15      9.45      0.30    330.29    330.35     -1.55
        16     10.15      0.16    330.79    330.83     -4.05
        17     10.85      0.08    331.09    331.11     -6.80
        18     11.55      0.04    331.26    331.27     -9.72
        19     12.25      0.02    331.35    331.35    -15.60
        20     12.95      0.01    331.39    331.39    -26.87
        21     13.65      0.00    331.41    331.41    -38.53
        22     14.35      0.00    331.42    331.42    -50.58
        23     15.05      0.00    331.42    331.42    -63.03
        24     15.75      0.00    331.42    331.42    -75.89
        25     16.45      0.00    331.42    331.42    -89.17
        26     17.15      0.00    331.42    331.42   -102.88
        27     17.85      0.00    331.42    331.42   -117.03
        28     18.55      0.00    331.42    331.42   -131.65
        29     19.25      0.00    331.42    331.42   -146.75
        30     19.95      0.00    331.42    331.42   -162.34
        31     20.65      0.00    331.42    331.42   -178.43
        32     21.35      0.00    331.42    331.42   -195.05
        33     22.05      0.00    331.42    331.42   -212.22
        34     22.75      0.00    331.42    331.42   -229.94
        35     23.45      0.00    331.42    331.42   -248.24
        36     24.15      0.00    331.42    331.42   -267.13
        37     24.85      0.00    331.42    331.42   -286.64
        38     25.55      0.00    331.42    331.42   -306.79
        39     26.25      0.00    331.42    331.42   -327.60
