           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:     7.8 g/kg
   LFC falls between   3.85 km and   4.55   km
    EL falls between   5.25 km and   5.95   km
 CAPE is    6.582308     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35      7.80    300.52    301.95     -1.30
         3      1.05      7.80    300.52    301.95     -2.41
         4      1.75      7.80    300.52    301.95     -3.82
         5      2.45      6.71    303.49    304.73     -2.63
         6      3.15      5.54    306.77    307.80     -1.30
         7      3.85      4.47    309.84    310.68     -0.29
         8      4.55      3.50    312.70    313.37      0.15
         9      5.25      2.64    315.29    315.80      0.15
        10      5.95      1.92    317.55    317.92     -0.23
        11      6.65      1.32    319.44    319.70     -1.04
        12      7.35      0.87    320.93    321.10     -2.28
        13      8.05      0.54    322.05    322.15     -3.95
        14      8.75      0.31    322.82    322.88     -6.09
        15      9.45      0.17    323.33    323.36     -8.54
        16     10.15      0.09    323.63    323.65    -11.23
        17     10.85      0.04    323.81    323.82    -14.10
        18     11.55      0.02    323.90    323.90    -17.09
        19     12.25      0.01    323.95    323.95    -23.00
        20     12.95      0.00    323.97    323.97    -34.29
        21     13.65      0.00    323.98    323.98    -45.96
        22     14.35      0.00    323.98    323.98    -58.02
        23     15.05      0.00    323.98    323.98    -70.47
        24     15.75      0.00    323.98    323.98    -83.33
        25     16.45      0.00    323.99    323.99    -96.60
        26     17.15      0.00    323.99    323.99   -110.31
        27     17.85      0.00    323.99    323.99   -124.47
        28     18.55      0.00    323.99    323.99   -139.09
        29     19.25      0.00    323.99    323.99   -154.19
        30     19.95      0.00    323.99    323.99   -169.77
        31     20.65      0.00    323.99    323.99   -185.87
        32     21.35      0.00    323.99    323.99   -202.49
        33     22.05      0.00    323.99    323.99   -219.65
        34     22.75      0.00    323.99    323.99   -237.37
        35     23.45      0.00    323.99    323.99   -255.67
        36     24.15      0.00    323.99    323.99   -274.57
        37     24.85      0.00    323.99    323.99   -294.08
        38     25.55      0.00    323.99    323.99   -314.23
        39     26.25      0.00    323.99    323.99   -335.03
