           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:    13.2 g/kg
   LFC falls between   1.05 km and   1.75   km
    EL falls between  10.85 km and  11.55   km
 CAPE is    2115.328     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35     13.20    300.52    302.94     -0.32
         3      1.05     12.76    301.68    304.02     -0.34
         4      1.75     11.21    305.80    307.89      2.12
         5      2.45      9.81    309.63    311.48      4.12
         6      3.15      8.44    313.47    315.08      5.97
         7      3.85      7.13    317.23    318.61      7.64
         8      4.55      5.89    320.87    322.03      8.80
         9      5.25      4.74    324.35    325.28      9.64
        10      5.95      3.70    327.59    328.32     10.17
        11      6.65      2.78    330.52    331.08     10.35
        12      7.35      1.99    333.09    333.49     10.11
        13      8.05      1.36    335.23    335.50      9.40
        14      8.75      0.88    336.91    337.09      8.12
        15      9.45      0.53    338.15    338.26      6.36
        16     10.15      0.30    338.99    339.05      4.17
        17     10.85      0.16    339.52    339.56      1.65
        18     11.55      0.08    339.84    339.85     -1.14
        19     12.25      0.04    340.01    340.02     -6.94
        20     12.95      0.02    340.09    340.10    -18.17
        21     13.65      0.01    340.13    340.14    -29.81
        22     14.35      0.00    340.15    340.15    -41.85
        23     15.05      0.00    340.16    340.16    -54.29
        24     15.75      0.00    340.16    340.16    -67.15
        25     16.45      0.00    340.17    340.17    -80.42
        26     17.15      0.00    340.17    340.17    -94.13
        27     17.85      0.00    340.17    340.17   -108.29
        28     18.55      0.00    340.17    340.17   -122.91
        29     19.25      0.00    340.17    340.17   -138.01
        30     19.95      0.00    340.17    340.17   -153.59
        31     20.65      0.00    340.17    340.17   -169.69
        32     21.35      0.00    340.17    340.17   -186.31
        33     22.05      0.00    340.17    340.17   -203.47
        34     22.75      0.00    340.17    340.17   -221.19
        35     23.45      0.00    340.17    340.17   -239.49
        36     24.15      0.00    340.17    340.17   -258.39
        37     24.85      0.00    340.17    340.17   -277.90
        38     25.55      0.00    340.17    340.17   -298.05
        39     26.25      0.00    340.17    340.17   -318.85
