           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:    11.6 g/kg
   LFC falls between   1.05 km and   1.75   km
    EL falls between   9.45 km and  10.15   km
 CAPE is    1254.486     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35     11.60    300.52    302.64     -0.61
         3      1.05     11.60    300.52    302.64     -1.72
         4      1.75     10.21    304.22    306.11      0.35
         5      2.45      8.85    307.95    309.62      2.25
         6      3.15      7.53    311.63    313.06      3.95
         7      3.85      6.29    315.20    316.41      5.44
         8      4.55      5.12    318.63    319.63      6.41
         9      5.25      4.06    321.86    322.66      7.02
        10      5.95      3.10    324.82    325.44      7.29
        11      6.65      2.28    327.45    327.91      7.18
        12      7.35      1.59    329.69    330.02      6.63
        13      8.05      1.06    331.51    331.72      5.61
        14      8.75      0.66    332.88    333.02      4.04
        15      9.45      0.39    333.85    333.93      2.03
        16     10.15      0.21    334.50    334.54     -0.34
        17     10.85      0.11    334.89    334.91     -3.00
        18     11.55      0.05    335.11    335.12     -5.87
        19     12.25      0.02    335.23    335.23    -11.72
        20     12.95      0.01    335.29    335.29    -22.97
        21     13.65      0.00    335.31    335.31    -34.63
        22     14.35      0.00    335.32    335.32    -46.68
        23     15.05      0.00    335.33    335.33    -59.12
        24     15.75      0.00    335.33    335.33    -71.98
        25     16.45      0.00    335.33    335.33    -85.26
        26     17.15      0.00    335.33    335.33    -98.97
        27     17.85      0.00    335.33    335.33   -113.12
        28     18.55      0.00    335.33    335.33   -127.74
        29     19.25      0.00    335.33    335.33   -142.84
        30     19.95      0.00    335.33    335.33   -158.43
        31     20.65      0.00    335.33    335.33   -174.52
        32     21.35      0.00    335.33    335.33   -191.14
        33     22.05      0.00    335.33    335.33   -208.31
        34     22.75      0.00    335.33    335.33   -226.03
        35     23.45      0.00    335.33    335.33   -244.33
        36     24.15      0.00    335.33    335.33   -263.22
        37     24.85      0.00    335.33    335.33   -282.73
        38     25.55      0.00    335.33    335.33   -302.88
        39     26.25      0.00    335.33    335.33   -323.69
