           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:     7.4 g/kg
   LFC falls between   0.00 km and  -0.35   km
    EL falls between   0.00 km and  -0.35   km
 CAPE is    0.000000     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35      7.40    300.52    301.87     -1.38
         3      1.05      7.40    300.52    301.87     -2.49
         4      1.75      7.40    300.52    301.87     -3.89
         5      2.45      6.51    302.95    304.15     -3.21
         6      3.15      5.35    306.21    307.21     -1.90
         7      3.85      4.30    309.22    310.03     -0.94
         8      4.55      3.35    312.02    312.66     -0.56
         9      5.25      2.51    314.54    315.02     -0.62
        10      5.95      1.81    316.72    317.07     -1.08
        11      6.65      1.24    318.53    318.77     -1.96
        12      7.35      0.81    319.95    320.11     -3.27
        13      8.05      0.50    321.00    321.10     -5.00
        14      8.75      0.29    321.73    321.79     -7.19
        15      9.45      0.16    322.20    322.23     -9.67
        16     10.15      0.08    322.48    322.49    -12.39
        17     10.85      0.04    322.64    322.64    -15.27
        18     11.55      0.02    322.72    322.73    -18.27
        19     12.25      0.01    322.76    322.77    -24.19
        20     12.95      0.00    322.78    322.78    -35.48
        21     13.65      0.00    322.79    322.79    -47.15
        22     14.35      0.00    322.80    322.80    -59.21
        23     15.05      0.00    322.80    322.80    -71.66
        24     15.75      0.00    322.80    322.80    -84.51
        25     16.45      0.00    322.80    322.80    -97.79
        26     17.15      0.00    322.80    322.80   -111.50
        27     17.85      0.00    322.80    322.80   -125.66
        28     18.55      0.00    322.80    322.80   -140.28
        29     19.25      0.00    322.80    322.80   -155.37
        30     19.95      0.00    322.80    322.80   -170.96
        31     20.65      0.00    322.80    322.80   -187.06
        32     21.35      0.00    322.80    322.80   -203.68
        33     22.05      0.00    322.80    322.80   -220.84
        34     22.75      0.00    322.80    322.80   -238.56
        35     23.45      0.00    322.80    322.80   -256.86
        36     24.15      0.00    322.80    322.80   -275.76
        37     24.85      0.00    322.80    322.80   -295.27
        38     25.55      0.00    322.80    322.80   -315.42
        39     26.25      0.00    322.80    322.80   -336.22
