           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:     8.7 g/kg
   LFC falls between   3.15 km and   3.85   km
    EL falls between   6.65 km and   7.35   km
 CAPE is    159.6848     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35      8.70    300.52    302.11     -1.14
         3      1.05      8.70    300.52    302.11     -2.25
         4      1.75      8.52    301.01    302.57     -3.19
         5      2.45      7.18    304.65    305.99     -1.37
         6      3.15      5.99    307.98    309.11     -0.00
         7      3.85      4.88    311.19    312.11      1.14
         8      4.55      3.86    314.19    314.93      1.71
         9      5.25      2.95    316.94    317.51      1.86
        10      5.95      2.17    319.37    319.79      1.64
        11      6.65      1.52    321.43    321.73      1.00
        12      7.35      1.01    323.09    323.29     -0.09
        13      8.05      0.64    324.36    324.48     -1.62
        14      8.75      0.38    325.26    325.33     -3.64
        15      9.45      0.21    325.85    325.90     -6.00
        16     10.15      0.11    326.22    326.24     -8.64
        17     10.85      0.06    326.43    326.45    -11.47
        18     11.55      0.03    326.55    326.55    -14.44
        19     12.25      0.01    326.61    326.61    -20.34
        20     12.95      0.00    326.64    326.64    -31.63
        21     13.65      0.00    326.65    326.65    -43.29
        22     14.35      0.00    326.65    326.65    -55.35
        23     15.05      0.00    326.66    326.66    -67.80
        24     15.75      0.00    326.66    326.66    -80.66
        25     16.45      0.00    326.66    326.66    -93.93
        26     17.15      0.00    326.66    326.66   -107.64
        27     17.85      0.00    326.66    326.66   -121.80
        28     18.55      0.00    326.66    326.66   -136.42
        29     19.25      0.00    326.66    326.66   -151.51
        30     19.95      0.00    326.66    326.66   -167.10
        31     20.65      0.00    326.66    326.66   -183.20
        32     21.35      0.00    326.66    326.66   -199.82
        33     22.05      0.00    326.66    326.66   -216.98
        34     22.75      0.00    326.66    326.66   -234.70
        35     23.45      0.00    326.66    326.66   -253.00
        36     24.15      0.00    326.66    326.66   -271.90
        37     24.85      0.00    326.66    326.66   -291.41
        38     25.55      0.00    326.66    326.66   -311.56
        39     26.25      0.00    326.66    326.66   -332.36
