           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:     9.8 g/kg
   LFC falls between   1.75 km and   2.45   km
    EL falls between   8.05 km and   8.75   km
 CAPE is    492.7813     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35      9.80    300.52    302.31     -0.94
         3      1.05      9.80    300.52    302.31     -2.05
         4      1.75      9.16    302.22    303.91     -1.85
         5      2.45      7.80    305.95    307.41      0.04
         6      3.15      6.56    309.41    310.65      1.54
         7      3.85      5.39    312.76    313.79      2.82
         8      4.55      4.32    315.93    316.77      3.54
         9      5.25      3.35    318.87    319.52      3.88
        10      5.95      2.50    321.50    321.99      3.84
        11      6.65      1.78    323.78    324.13      3.40
        12      7.35      1.21    325.66    325.90      2.52
        13      8.05      0.78    327.12    327.27      1.17
        14      8.75      0.47    328.19    328.28     -0.69
        15      9.45      0.27    328.91    328.96     -2.94
        16     10.15      0.14    329.37    329.40     -5.48
        17     10.85      0.07    329.64    329.65     -8.26
        18     11.55      0.03    329.79    329.79    -11.20
        19     12.25      0.02    329.86    329.87    -17.09
        20     12.95      0.01    329.90    329.90    -28.36
        21     13.65      0.00    329.92    329.92    -40.02
        22     14.35      0.00    329.92    329.92    -52.08
        23     15.05      0.00    329.93    329.93    -64.53
        24     15.75      0.00    329.93    329.93    -77.38
        25     16.45      0.00    329.93    329.93    -90.66
        26     17.15      0.00    329.93    329.93   -104.37
        27     17.85      0.00    329.93    329.93   -118.53
        28     18.55      0.00    329.93    329.93   -133.15
        29     19.25      0.00    329.93    329.93   -148.24
        30     19.95      0.00    329.93    329.93   -163.83
        31     20.65      0.00    329.93    329.93   -179.93
        32     21.35      0.00    329.93    329.93   -196.55
        33     22.05      0.00    329.93    329.93   -213.71
        34     22.75      0.00    329.93    329.93   -231.43
        35     23.45      0.00    329.93    329.93   -249.73
        36     24.15      0.00    329.93    329.93   -268.63
        37     24.85      0.00    329.93    329.93   -288.14
        38     25.55      0.00    329.93    329.93   -308.29
        39     26.25      0.00    329.93    329.93   -329.09
