           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:    11.7 g/kg
   LFC falls between   1.05 km and   1.75   km
    EL falls between   9.45 km and  10.15   km
 CAPE is    1302.194     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35     11.70    300.52    302.66     -0.59
         3      1.05     11.70    300.52    302.66     -1.70
         4      1.75     10.27    304.33    306.24      0.47
         5      2.45      8.91    308.06    309.73      2.37
         6      3.15      7.59    311.74    313.19      4.08
         7      3.85      6.34    315.33    316.55      5.58
         8      4.55      5.17    318.78    319.78      6.56
         9      5.25      4.10    322.02    322.83      7.18
        10      5.95      3.14    325.00    325.63      7.48
        11      6.65      2.31    327.65    328.11      7.38
        12      7.35      1.62    329.91    330.24      6.86
        13      8.05      1.07    331.74    331.96      5.86
        14      8.75      0.67    333.14    333.27      4.30
        15      9.45      0.40    334.13    334.21      2.31
        16     10.15      0.22    334.78    334.82     -0.06
        17     10.85      0.11    335.18    335.20     -2.71
        18     11.55      0.06    335.41    335.42     -5.58
        19     12.25      0.03    335.53    335.53    -11.42
        20     12.95      0.01    335.59    335.59    -22.67
        21     13.65      0.00    335.61    335.61    -34.33
        22     14.35      0.00    335.63    335.63    -46.37
        23     15.05      0.00    335.63    335.63    -58.82
        24     15.75      0.00    335.63    335.63    -71.68
        25     16.45      0.00    335.63    335.63    -84.95
        26     17.15      0.00    335.63    335.63    -98.67
        27     17.85      0.00    335.63    335.63   -112.82
        28     18.55      0.00    335.63    335.63   -127.44
        29     19.25      0.00    335.63    335.63   -142.54
        30     19.95      0.00    335.63    335.63   -158.12
        31     20.65      0.00    335.63    335.63   -174.22
        32     21.35      0.00    335.63    335.63   -190.84
        33     22.05      0.00    335.63    335.63   -208.00
        34     22.75      0.00    335.63    335.63   -225.72
        35     23.45      0.00    335.63    335.63   -244.02
        36     24.15      0.00    335.63    335.63   -262.92
        37     24.85      0.00    335.63    335.63   -282.43
        38     25.55      0.00    335.63    335.63   -302.58
        39     26.25      0.00    335.63    335.63   -323.38
