           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:     9.2 g/kg
   LFC falls between   2.45 km and   3.15   km
    EL falls between   7.35 km and   8.05   km
 CAPE is    299.6745     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35      9.20    300.52    302.20     -1.05
         3      1.05      9.20    300.52    302.20     -2.16
         4      1.75      8.81    301.56    303.18     -2.58
         5      2.45      7.46    305.25    306.64     -0.72
         6      3.15      6.25    308.64    309.81      0.71
         7      3.85      5.11    311.91    312.88      1.91
         8      4.55      4.06    314.99    315.77      2.55
         9      5.25      3.13    317.82    318.43      2.79
        10      5.95      2.31    320.35    320.80      2.65
        11      6.65      1.64    322.51    322.83      2.10
        12      7.35      1.10    324.27    324.49      1.10
        13      8.05      0.70    325.62    325.76     -0.35
        14      8.75      0.42    326.59    326.68     -2.30
        15      9.45      0.24    327.24    327.29     -4.61
        16     10.15      0.13    327.65    327.68     -7.20
        17     10.85      0.06    327.89    327.90    -10.01
        18     11.55      0.03    328.02    328.02    -12.97
        19     12.25      0.01    328.08    328.09    -18.86
        20     12.95      0.01    328.12    328.12    -30.14
        21     13.65      0.00    328.13    328.13    -41.81
        22     14.35      0.00    328.14    328.14    -53.86
        23     15.05      0.00    328.14    328.14    -66.31
        24     15.75      0.00    328.14    328.14    -79.17
        25     16.45      0.00    328.14    328.14    -92.45
        26     17.15      0.00    328.14    328.14   -106.16
        27     17.85      0.00    328.14    328.14   -120.32
        28     18.55      0.00    328.14    328.14   -134.94
        29     19.25      0.00    328.14    328.14   -150.03
        30     19.95      0.00    328.14    328.14   -165.62
        31     20.65      0.00    328.14    328.14   -181.71
        32     21.35      0.00    328.14    328.14   -198.33
        33     22.05      0.00    328.14    328.14   -215.50
        34     22.75      0.00    328.14    328.14   -233.22
        35     23.45      0.00    328.14    328.14   -251.52
        36     24.15      0.00    328.14    328.14   -270.41
        37     24.85      0.00    328.14    328.14   -289.93
        38     25.55      0.00    328.14    328.14   -310.07
        39     26.25      0.00    328.14    328.14   -330.88
