           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:    14.0 g/kg
   LFC falls between   0.35 km and   1.05   km
    EL falls between  11.55 km and  12.25   km
 CAPE is    2602.475     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35     14.00    300.52    303.08     -0.17
         3      1.05     13.28    302.39    304.84      0.48
         4      1.75     11.73    306.53    308.73      2.96
         5      2.45     10.30    310.44    312.39      5.02
         6      3.15      8.90    314.35    316.05      6.95
         7      3.85      7.56    318.20    319.66      8.69
         8      4.55      6.29    321.94    323.18      9.96
         9      5.25      5.10    325.53    326.55     10.90
        10      5.95      4.02    328.90    329.71     11.56
        11      6.65      3.05    331.99    332.61     11.88
        12      7.35      2.22    334.72    335.17     11.79
        13      8.05      1.53    337.03    337.34     11.23
        14      8.75      1.00    338.87    339.08     10.10
        15      9.45      0.61    340.25    340.38      8.48
        16     10.15      0.35    341.22    341.29      6.41
        17     10.85      0.19    341.84    341.87      3.96
        18     11.55      0.10    342.20    342.22      1.23
        19     12.25      0.05    342.41    342.42     -4.54
        20     12.95      0.02    342.51    342.52    -15.75
        21     13.65      0.01    342.56    342.56    -27.38
        22     14.35      0.00    342.58    342.58    -39.42
        23     15.05      0.00    342.59    342.59    -51.86
        24     15.75      0.00    342.60    342.60    -64.71
        25     16.45      0.00    342.60    342.60    -77.99
        26     17.15      0.00    342.60    342.60    -91.70
        27     17.85      0.00    342.60    342.60   -105.86
        28     18.55      0.00    342.60    342.60   -120.48
        29     19.25      0.00    342.60    342.60   -135.57
        30     19.95      0.00    342.60    342.60   -151.16
        31     20.65      0.00    342.60    342.60   -167.25
        32     21.35      0.00    342.60    342.60   -183.87
        33     22.05      0.00    342.60    342.60   -201.04
        34     22.75      0.00    342.60    342.60   -218.76
        35     23.45      0.00    342.60    342.60   -237.06
        36     24.15      0.00    342.60    342.60   -255.95
        37     24.85      0.00    342.60    342.60   -275.47
        38     25.55      0.00    342.60    342.60   -295.61
        39     26.25      0.00    342.60    342.60   -316.42
