           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:    13.5 g/kg
   LFC falls between   1.05 km and   1.75   km
    EL falls between  10.85 km and  11.55   km
 CAPE is    2285.608     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35     13.50    300.52    302.99     -0.26
         3      1.05     12.95    301.94    304.33     -0.03
         4      1.75     11.40    306.08    308.20      2.44
         5      2.45      9.99    309.93    311.82      4.46
         6      3.15      8.61    313.80    315.45      6.34
         7      3.85      7.29    317.59    319.01      8.04
         8      4.55      6.04    321.28    322.46      9.24
         9      5.25      4.87    324.80    325.76     10.12
        10      5.95      3.82    328.08    328.85     10.70
        11      6.65      2.88    331.08    331.66     10.93
        12      7.35      2.08    333.70    334.13     10.74
        13      8.05      1.42    335.91    336.20     10.09
        14      8.75      0.92    337.65    337.84      8.87
        15      9.45      0.56    338.94    339.06      7.16
        16     10.15      0.32    339.83    339.89      5.01
        17     10.85      0.17    340.39    340.43      2.51
        18     11.55      0.08    340.72    340.74     -0.25
        19     12.25      0.04    340.91    340.91     -6.04
        20     12.95      0.02    341.00    341.00    -17.26
        21     13.65      0.01    341.04    341.04    -28.90
        22     14.35      0.00    341.06    341.06    -40.94
        23     15.05      0.00    341.07    341.07    -53.38
        24     15.75      0.00    341.07    341.08    -66.24
        25     16.45      0.00    341.08    341.08    -79.51
        26     17.15      0.00    341.08    341.08    -93.22
        27     17.85      0.00    341.08    341.08   -107.38
        28     18.55      0.00    341.08    341.08   -122.00
        29     19.25      0.00    341.08    341.08   -137.09
        30     19.95      0.00    341.08    341.08   -152.68
        31     20.65      0.00    341.08    341.08   -168.78
        32     21.35      0.00    341.08    341.08   -185.40
        33     22.05      0.00    341.08    341.08   -202.56
        34     22.75      0.00    341.08    341.08   -220.28
        35     23.45      0.00    341.08    341.08   -238.58
        36     24.15      0.00    341.08    341.08   -257.48
        37     24.85      0.00    341.08    341.08   -276.99
        38     25.55      0.00    341.08    341.08   -297.14
        39     26.25      0.00    341.08    341.08   -317.94
