           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:    11.2 g/kg
   LFC falls between   1.75 km and   2.45   km
    EL falls between   9.45 km and  10.15   km
 CAPE is    1065.616     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35     11.20    300.52    302.57     -0.68
         3      1.05     11.20    300.52    302.57     -1.79
         4      1.75      9.98    303.78    305.62     -0.14
         5      2.45      8.61    307.52    309.14      1.77
         6      3.15      7.31    311.15    312.53      3.43
         7      3.85      6.08    314.67    315.84      4.87
         8      4.55      4.94    318.05    319.01      5.79
         9      5.25      3.89    321.22    321.98      6.33
        10      5.95      2.96    324.11    324.69      6.54
        11      6.65      2.16    326.66    327.09      6.36
        12      7.35      1.50    328.82    329.12      5.73
        13      8.05      0.99    330.55    330.75      4.64
        14      8.75      0.61    331.85    331.97      3.00
        15      9.45      0.36    332.76    332.84      0.94
        16     10.15      0.20    333.36    333.40     -1.48
        17     10.85      0.10    333.72    333.74     -4.17
        18     11.55      0.05    333.92    333.93     -7.06
        19     12.25      0.02    334.03    334.04    -12.92
        20     12.95      0.01    334.08    334.09    -24.18
        21     13.65      0.00    334.11    334.11    -35.83
        22     14.35      0.00    334.12    334.12    -47.88
        23     15.05      0.00    334.12    334.12    -60.33
        24     15.75      0.00    334.12    334.12    -73.19
        25     16.45      0.00    334.13    334.13    -86.46
        26     17.15      0.00    334.13    334.13   -100.17
        27     17.85      0.00    334.13    334.13   -114.33
        28     18.55      0.00    334.13    334.13   -128.95
        29     19.25      0.00    334.13    334.13   -144.05
        30     19.95      0.00    334.13    334.13   -159.63
        31     20.65      0.00    334.13    334.13   -175.73
        32     21.35      0.00    334.13    334.13   -192.35
        33     22.05      0.00    334.13    334.13   -209.51
        34     22.75      0.00    334.13    334.13   -227.23
        35     23.45      0.00    334.13    334.13   -245.53
        36     24.15      0.00    334.13    334.13   -264.43
        37     24.85      0.00    334.13    334.13   -283.94
        38     25.55      0.00    334.13    334.13   -304.09
        39     26.25      0.00    334.13    334.13   -324.89
