           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:    10.9 g/kg
   LFC falls between   1.75 km and   2.45   km
    EL falls between   9.45 km and  10.15   km
 CAPE is    928.6521     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35     10.90    300.52    302.52     -0.74
         3      1.05     10.90    300.52    302.52     -1.84
         4      1.75      9.80    303.44    305.26     -0.51
         5      2.45      8.43    307.19    308.77      1.41
         6      3.15      7.15    310.78    312.14      3.03
         7      3.85      5.93    314.27    315.41      4.44
         8      4.55      4.80    317.61    318.54      5.31
         9      5.25      3.77    320.72    321.46      5.82
        10      5.95      2.86    323.56    324.12      5.97
        11      6.65      2.08    326.05    326.46      5.73
        12      7.35      1.44    328.15    328.44      5.05
        13      8.05      0.94    329.82    330.01      3.90
        14      8.75      0.58    331.07    331.19      2.21
        15      9.45      0.34    331.94    332.01      0.11
        16     10.15      0.18    332.51    332.54     -2.34
        17     10.85      0.09    332.84    332.86     -5.05
        18     11.55      0.05    333.04    333.04     -7.95
        19     12.25      0.02    333.14    333.14    -13.81
        20     12.95      0.01    333.18    333.19    -25.08
        21     13.65      0.00    333.21    333.21    -36.73
        22     14.35      0.00    333.22    333.22    -48.78
        23     15.05      0.00    333.22    333.22    -61.23
        24     15.75      0.00    333.22    333.22    -74.09
        25     16.45      0.00    333.22    333.22    -87.37
        26     17.15      0.00    333.22    333.22   -101.08
        27     17.85      0.00    333.22    333.22   -115.23
        28     18.55      0.00    333.22    333.22   -129.85
        29     19.25      0.00    333.22    333.22   -144.95
        30     19.95      0.00    333.22    333.22   -160.54
        31     20.65      0.00    333.22    333.22   -176.63
        32     21.35      0.00    333.22    333.22   -193.25
        33     22.05      0.00    333.22    333.22   -210.41
        34     22.75      0.00    333.22    333.22   -228.14
        35     23.45      0.00    333.22    333.22   -246.44
        36     24.15      0.00    333.22    333.22   -265.33
        37     24.85      0.00    333.22    333.22   -284.84
        38     25.55      0.00    333.22    333.22   -304.99
        39     26.25      0.00    333.22    333.22   -325.80
